AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,PCP_PC,PCP_PO,PCP_NP,PCP_CY,PCP_AR,PCP_BS,PCP_HB,PCP_HL,PCP_SC,PCP_SM,PCP_LR,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y,Class
3.71,1.59,7.16,6.9,6.37,4.77,2.12,5.84,6.63,10.61,2.39,4.24,3.18,5.84,8.22,5.57,4.24,7.43,0.8,2.39,0.152,-0.189,-0.462,-0.406,0.079,0.17,0.196,0.451,0.032,0.095,0.17,0.462,0.244,0.04,0.419,0.581,19.4,92.02,18.57,17.35,30.45,18.87,77.66,19.73,21.95,23.62,87.35,33.71,27.66,35.05,40.24,63.33,30.62,22.09,91.44,49.89,1.14,1.0,1.35,1.14,1.0,1.17,1.0,1.15,1.27,1.15,1.0,1.18,1.0,1.25,1.0,1.0,1.25,1.13,1.0,1.0,nonDRNA
7.91,0.56,9.6,7.91,4.52,6.78,1.69,7.34,8.47,7.34,1.13,6.21,4.52,4.52,2.82,2.26,4.52,8.47,1.69,1.69,0.248,-0.419,-0.273,-0.573,0.143,0.13,0.136,0.497,0.045,0.079,0.13,0.48,0.237,0.017,0.508,0.492,39.43,29.8,27.38,18.17,29.62,21.94,61.19,29.69,25.24,15.47,131.82,37.69,31.64,41.26,27.09,29.04,55.67,39.84,113.93,65.34,1.12,1.15,1.0,1.0,1.22,1.18,1.0,1.09,1.35,1.47,1.29,1.0,1.24,1.0,1.22,1.0,1.0,1.29,1.0,1.17,nonDRNA
4.95,4.02,7.12,6.5,5.57,6.81,1.86,6.81,7.12,11.76,2.17,4.02,5.26,4.02,5.57,4.33,3.1,4.33,0.93,3.72,-0.004,-0.306,-0.206,-0.381,0.057,0.146,0.192,0.486,0.053,0.102,0.146,0.489,0.238,0.062,0.44,0.56,17.84,105.37,12.21,10.62,34.67,24.27,88.09,20.15,27.12,14.1,33.3,29.36,87.23,29.28,52.41,31.16,25.34,14.66,0.0,76.28,1.0,1.0,1.0,1.87,1.0,1.0,1.0,1.0,1.18,1.0,1.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,nonDRNA
6.0,0.67,12.0,15.33,5.33,6.0,0.67,6.0,7.33,8.0,5.33,3.33,0.67,4.0,2.0,4.0,4.67,7.33,0.0,1.33,0.467,-0.46,-0.218,-0.891,0.08,0.1,0.147,0.447,0.007,0.067,0.1,0.44,0.14,0.06,0.447,0.553,27.17,0.0,14.98,15.19,16.58,16.82,0.0,25.01,12.66,22.47,16.49,25.06,42.93,106.67,29.41,43.21,18.9,103.01,0.0,82.78,1.2,0.0,1.44,1.15,1.0,1.18,0.0,1.0,1.13,1.15,1.0,1.0,1.0,1.0,1.0,1.25,1.0,1.0,0.0,1.0,nonDRNA
6.37,0.0,11.46,8.28,7.64,7.01,0.0,5.73,9.55,8.28,7.01,5.1,3.18,2.55,3.18,5.1,5.73,2.55,0.0,1.27,0.318,-0.325,-0.146,-0.571,0.105,0.127,0.146,0.478,0.032,0.089,0.127,0.465,0.21,0.07,0.465,0.535,26.91,94.9,18.96,20.68,38.73,33.71,29.87,29.19,28.45,30.84,109.56,33.87,29.69,48.29,59.19,18.38,36.07,25.82,61.93,78.87,1.08,1.0,1.22,1.17,1.0,1.16,1.0,1.09,1.09,1.18,1.0,1.09,1.08,1.0,1.18,1.1,1.0,1.15,1.0,1.0,nonDRNA
5.88,1.18,8.47,8.24,3.53,5.88,4.71,5.41,5.41,7.76,1.41,5.18,5.65,3.06,2.59,9.41,4.94,6.35,3.06,1.88,0.371,-0.315,-0.028,-0.464,0.142,0.127,0.205,0.449,0.056,0.085,0.127,0.452,0.235,0.026,0.529,0.471,27.12,165.34,19.11,37.33,29.79,20.67,92.01,25.22,21.67,26.38,67.92,36.31,49.61,121.69,47.84,27.07,30.2,17.27,88.82,63.6,1.41,1.0,1.15,1.11,1.0,1.15,1.0,1.1,1.19,1.1,1.0,1.0,1.0,1.0,1.0,1.26,1.29,1.37,1.0,1.0,nonDRNA
8.58,0.59,7.99,5.33,3.85,7.99,1.78,6.21,9.17,6.21,2.37,3.55,3.25,0.89,3.85,6.8,6.21,11.24,1.48,2.66,0.18,-0.663,-0.315,-0.442,0.127,0.148,0.172,0.512,0.033,0.08,0.148,0.5,0.216,0.03,0.562,0.438,14.76,55.76,31.06,39.15,57.21,20.1,72.93,22.5,51.08,24.81,29.51,47.99,36.01,37.58,24.8,36.44,43.6,23.62,157.64,62.39,1.13,1.0,1.21,1.0,1.0,1.09,1.33,1.2,1.13,1.0,1.14,1.0,1.15,1.0,1.0,1.0,1.15,1.25,1.0,1.25,nonDRNA
10.65,1.72,6.53,5.15,3.09,7.9,2.06,6.87,5.15,6.87,4.81,3.44,4.47,4.81,5.5,4.81,4.47,8.25,0.69,2.75,0.105,-0.639,-0.261,-0.375,0.144,0.127,0.186,0.536,0.045,0.065,0.127,0.519,0.206,0.065,0.522,0.478,39.43,29.8,27.38,18.17,29.62,21.94,61.19,29.72,25.24,15.45,131.82,37.69,31.64,41.26,27.09,29.04,55.67,39.84,113.93,65.34,1.12,1.15,1.0,1.0,1.22,1.18,1.0,1.1,1.35,1.46,1.29,1.0,1.24,1.0,1.22,1.0,1.0,1.29,1.0,1.17,nonDRNA
4.95,4.02,7.12,6.5,5.57,6.81,1.86,6.5,7.12,12.07,2.17,4.02,5.26,4.02,5.57,4.33,3.1,4.33,0.93,3.72,-0.005,-0.304,-0.205,-0.381,0.059,0.146,0.192,0.486,0.053,0.102,0.146,0.489,0.238,0.062,0.44,0.56,23.93,121.42,50.32,43.59,41.9,30.02,106.93,50.22,27.64,22.42,71.75,55.56,62.78,48.21,26.45,28.71,31.22,26.76,103.03,89.87,1.31,1.0,1.21,1.17,1.09,1.03,1.1,1.05,1.22,1.29,1.0,1.0,1.18,1.12,1.04,1.32,1.22,1.11,1.11,1.0,nonDRNA
7.96,1.1,5.19,5.3,5.19,6.85,2.32,4.09,7.18,9.06,2.54,3.43,3.76,3.54,5.97,7.51,5.97,7.96,2.1,2.98,0.089,-0.436,-0.336,-0.307,0.109,0.155,0.211,0.495,0.038,0.103,0.155,0.497,0.227,0.036,0.497,0.503,37.69,62.84,28.99,21.6,31.56,34.31,82.62,34.59,26.41,15.18,51.4,78.06,44.28,39.82,27.11,28.77,50.31,31.68,128.84,45.82,1.16,1.0,1.0,1.33,1.06,1.15,1.0,1.12,1.32,1.31,1.0,1.0,1.32,1.12,1.1,1.05,1.0,1.11,1.0,1.0,nonDRNA
5.37,2.18,5.81,8.71,5.22,5.81,3.05,4.64,8.13,11.18,3.48,2.47,4.5,4.64,6.1,5.81,3.34,5.37,1.02,3.19,0.13,-0.251,-0.338,-0.319,0.111,0.173,0.192,0.466,0.045,0.094,0.173,0.463,0.242,0.057,0.406,0.594,12.13,145.62,23.41,16.32,34.93,20.18,144.13,30.04,23.38,21.25,62.56,44.3,31.84,36.78,48.21,41.43,43.53,16.96,0.0,69.71,1.14,1.0,1.0,1.14,1.0,1.08,1.0,1.1,1.15,1.07,1.0,1.0,1.0,1.0,1.22,1.0,1.0,1.0,0.0,1.0,nonDRNA
13.0,0.62,6.19,8.98,4.33,7.43,0.62,6.19,8.36,8.36,2.17,4.64,3.72,3.41,2.79,4.64,4.33,8.05,0.0,2.17,0.195,-0.715,-0.283,-0.614,0.211,0.118,0.152,0.533,0.037,0.065,0.118,0.508,0.201,0.028,0.526,0.474,17.4,124.74,40.42,28.24,42.58,20.48,38.1,26.77,33.82,31.57,58.96,36.29,45.87,49.42,48.44,38.39,33.95,25.47,75.98,62.95,1.27,1.0,1.11,1.0,1.0,1.44,1.0,1.4,1.11,1.06,1.0,1.0,1.0,1.0,1.14,1.11,1.27,1.07,1.0,1.0,nonDRNA
10.86,0.74,4.44,6.91,3.7,10.12,4.94,6.17,4.44,7.9,2.22,4.44,4.69,2.96,3.46,4.44,5.43,7.41,2.22,2.47,0.084,-0.651,-0.195,-0.319,0.126,0.128,0.16,0.553,0.047,0.084,0.128,0.514,0.22,0.03,0.526,0.474,19.23,124.74,40.98,28.34,44.89,19.5,40.47,21.92,33.88,23.85,65.95,36.54,45.87,55.22,48.44,56.92,32.34,25.06,77.76,55.76,1.28,1.0,1.0,1.19,1.0,1.43,1.0,1.33,1.11,1.06,1.0,1.11,1.0,1.0,1.14,1.13,1.26,1.12,1.0,1.15,nonDRNA
10.62,0.74,3.7,7.65,3.46,10.37,4.94,5.93,4.44,8.4,1.98,4.69,4.69,2.47,3.46,3.7,5.68,7.9,1.98,3.21,0.05,-0.667,-0.225,-0.335,0.102,0.128,0.158,0.553,0.047,0.086,0.128,0.514,0.222,0.027,0.521,0.479,15.64,0.0,27.67,29.78,51.33,17.46,201.78,39.82,51.33,15.26,87.69,86.1,39.22,85.68,31.07,31.58,55.83,18.37,299.9,88.13,1.46,0.0,1.05,1.09,1.17,1.21,1.0,1.06,1.1,1.49,1.0,1.2,1.21,1.08,1.2,1.14,1.21,1.11,1.0,1.0,nonDRNA
15.77,0.0,5.79,6.8,3.33,9.7,0.87,4.49,3.04,11.87,1.74,1.45,5.5,3.76,7.38,4.2,4.2,7.96,0.43,1.74,0.038,-0.861,-0.357,-0.496,0.355,0.113,0.139,0.608,0.055,0.055,0.113,0.553,0.182,0.017,0.546,0.454,24.19,64.31,26.5,28.46,46.77,21.66,58.09,23.28,45.97,17.38,36.63,19.09,23.52,43.9,32.81,20.84,77.15,30.11,49.0,23.15,1.12,1.0,1.0,1.13,1.0,1.13,1.0,1.0,1.22,1.11,1.0,1.0,1.15,1.0,1.0,1.11,1.0,1.0,1.0,1.0,nonDRNA
7.17,2.11,5.49,6.33,2.95,6.33,2.53,6.33,3.8,7.59,3.8,6.75,5.49,3.38,6.75,8.02,2.53,5.91,1.69,5.06,0.192,-0.264,-0.126,-0.337,0.03,0.131,0.211,0.473,0.055,0.097,0.131,0.456,0.253,0.059,0.498,0.502,35.53,71.29,21.83,25.34,53.33,28.2,71.64,55.74,168.38,24.43,82.97,24.04,27.33,40.62,34.05,20.08,34.9,25.37,104.8,103.88,1.12,1.0,1.22,1.19,1.06,1.31,1.12,1.0,1.12,1.18,1.1,1.19,1.08,1.17,1.15,1.17,1.26,1.1,1.0,1.0,nonDRNA
5.49,2.97,7.43,6.17,3.54,6.74,1.83,3.89,3.66,7.77,2.29,7.2,5.71,5.37,6.17,9.37,4.46,7.09,1.26,1.6,0.509,-0.385,-0.067,-0.531,0.075,0.117,0.238,0.438,0.057,0.064,0.117,0.445,0.246,0.053,0.565,0.435,20.89,54.35,35.85,28.43,20.93,26.29,104.27,18.84,49.39,23.41,136.14,34.62,57.4,21.72,32.64,18.28,34.07,35.66,155.11,37.62,1.13,1.22,1.0,1.4,1.14,1.57,1.0,1.0,1.0,1.11,1.0,1.2,1.0,1.15,1.0,1.12,1.0,1.0,1.0,1.0,nonDRNA
7.21,4.33,4.81,7.21,6.73,6.73,0.48,6.73,5.77,8.65,0.96,4.81,1.92,6.25,6.73,7.69,3.85,3.85,0.96,4.33,0.23,-0.331,-0.227,-0.507,-0.024,0.13,0.264,0.438,0.019,0.12,0.13,0.452,0.197,0.053,0.452,0.548,20.57,197.08,22.19,17.03,63.34,41.3,46.98,39.09,30.13,35.63,46.1,48.21,49.99,60.53,22.75,34.0,35.1,27.64,190.7,66.64,1.4,1.0,1.4,1.38,1.0,1.19,1.18,1.0,1.17,1.25,1.0,1.14,1.1,1.0,1.21,1.15,1.16,1.16,1.0,1.15,nonDRNA
10.25,1.37,7.97,12.07,3.42,4.78,2.51,3.87,5.47,7.29,3.42,3.19,4.56,2.51,6.61,5.92,5.69,5.69,0.46,2.96,0.55,-0.361,-0.2,-0.539,0.154,0.146,0.185,0.437,0.046,0.068,0.146,0.46,0.223,0.048,0.494,0.506,18.76,71.66,30.73,26.76,33.09,17.96,57.22,28.19,68.15,14.56,152.6,43.28,46.4,24.27,31.66,37.67,37.54,24.82,77.38,45.96,1.3,1.0,1.0,1.0,1.17,1.2,1.22,1.0,1.4,1.32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nonDRNA
8.85,1.77,5.31,6.64,5.31,8.85,3.98,4.42,2.21,11.06,0.88,3.54,5.75,6.19,5.31,5.31,3.98,7.08,0.88,2.65,0.065,-0.544,-0.187,-0.435,0.186,0.115,0.199,0.531,0.058,0.088,0.115,0.5,0.208,0.027,0.504,0.496,51.94,47.17,20.27,27.38,25.1,17.74,62.96,17.09,29.59,19.2,136.14,62.14,37.76,32.56,33.45,22.39,38.94,44.46,55.3,24.34,1.0,1.0,1.0,1.0,1.0,1.11,1.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.35,1.15,1.17,1.0,1.18,nonDRNA
4.81,2.88,7.69,5.29,5.29,9.13,2.88,6.25,4.33,6.25,0.96,3.37,5.29,3.37,4.33,8.17,6.25,5.77,2.4,5.29,0.182,-0.398,-0.024,-0.43,0.017,0.115,0.26,0.462,0.053,0.13,0.115,0.462,0.202,0.038,0.534,0.466,18.33,60.79,52.74,33.69,43.68,19.61,33.14,28.53,83.95,18.26,168.13,45.06,22.17,33.17,32.38,58.68,23.13,26.48,67.34,45.0,1.32,1.22,1.0,1.53,1.13,1.17,1.0,1.07,1.0,1.19,1.0,1.0,1.0,1.08,1.1,1.0,1.08,1.0,1.0,1.13,nonDRNA
11.2,2.29,4.58,4.83,3.82,9.16,3.82,6.87,1.53,10.69,0.76,3.82,5.34,6.11,5.09,2.8,6.11,5.6,1.78,3.82,-0.105,-0.626,-0.216,-0.374,0.143,0.104,0.211,0.552,0.053,0.094,0.104,0.545,0.196,0.031,0.509,0.491,27.55,71.64,31.38,21.28,64.11,22.91,49.11,19.52,49.06,21.29,43.97,35.88,39.42,86.26,63.37,33.78,22.8,16.42,98.55,61.45,1.33,1.0,1.12,1.1,1.0,1.17,1.0,1.33,1.12,1.29,1.0,1.0,1.0,1.0,1.2,1.35,1.12,1.17,1.0,1.33,nonDRNA
8.66,2.17,5.78,7.22,2.89,8.66,1.81,8.66,5.78,7.58,3.61,3.25,3.61,2.89,3.61,6.14,6.14,8.3,1.08,2.17,0.054,-0.786,-0.264,-0.512,0.099,0.112,0.195,0.531,0.036,0.061,0.112,0.527,0.181,0.058,0.527,0.473,25.82,59.99,37.91,21.28,45.17,23.4,62.79,21.53,39.32,28.91,39.52,35.61,39.42,86.57,48.06,28.65,25.75,13.24,98.55,61.45,1.25,1.0,1.13,1.1,1.0,1.27,1.0,1.19,1.12,1.12,1.0,1.2,1.0,1.22,1.18,1.35,1.12,1.14,1.0,1.33,nonDRNA
8.66,2.53,5.42,7.22,3.25,7.94,1.44,7.58,5.78,5.78,4.33,3.61,3.61,3.25,3.97,6.14,5.78,10.47,1.08,2.17,0.074,-0.758,-0.252,-0.488,0.059,0.112,0.199,0.527,0.036,0.065,0.112,0.531,0.184,0.069,0.542,0.458,20.83,60.11,28.83,38.44,44.0,19.18,94.59,33.73,24.7,18.76,57.45,31.43,46.25,66.08,35.81,26.97,31.21,15.7,0.0,36.61,1.07,1.0,1.08,1.24,1.0,1.15,1.0,1.12,1.52,1.13,1.0,1.0,1.12,1.0,1.0,1.3,1.12,1.06,0.0,1.0,nonDRNA
8.88,2.07,7.1,5.03,3.25,7.99,1.48,5.03,7.99,8.88,3.25,3.85,4.73,2.07,3.85,5.92,5.03,9.17,0.0,4.44,0.095,-0.657,-0.221,-0.445,0.125,0.133,0.195,0.512,0.047,0.077,0.133,0.503,0.219,0.053,0.547,0.453,19.01,104.43,14.55,11.31,30.89,21.09,88.12,22.11,24.84,17.65,24.5,24.98,61.2,33.52,27.31,33.59,21.62,24.04,0.0,128.48,1.2,1.0,1.11,1.53,1.0,1.0,1.0,1.0,1.0,1.0,1.22,1.0,1.0,1.0,1.0,1.0,1.22,1.0,0.0,1.0,nonDRNA
6.71,0.67,12.75,12.75,6.04,6.71,0.67,4.7,6.71,7.38,6.04,4.7,1.34,4.03,3.36,3.36,6.04,5.37,0.0,0.67,0.587,-0.397,-0.153,-0.793,0.066,0.107,0.148,0.443,0.013,0.067,0.107,0.443,0.168,0.067,0.477,0.523,19.01,104.43,14.63,10.92,30.89,21.09,88.12,22.11,24.84,17.65,24.5,24.98,61.2,33.52,27.31,33.59,21.62,24.04,0.0,128.48,1.2,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.22,1.0,1.0,1.0,1.0,1.0,1.22,1.0,0.0,1.0,nonDRNA
6.71,0.67,12.08,13.42,6.04,6.71,0.67,4.7,6.71,7.38,6.04,4.7,1.34,4.03,3.36,3.36,6.04,5.37,0.0,0.67,0.581,-0.402,-0.166,-0.797,0.059,0.107,0.148,0.443,0.013,0.067,0.107,0.443,0.168,0.067,0.47,0.53,13.67,98.69,24.49,24.86,62.37,17.34,38.94,56.49,39.44,20.48,43.08,53.44,52.89,54.17,34.06,78.21,36.38,20.52,90.86,71.26,1.27,1.0,1.12,1.14,1.0,1.05,1.11,1.32,1.0,1.42,1.0,1.0,1.0,1.0,1.14,1.38,1.56,1.27,1.0,1.0,nonDRNA
13.33,1.62,6.87,5.86,2.02,8.69,3.84,3.84,3.23,10.51,2.63,3.43,3.43,3.23,5.66,4.24,5.05,8.89,1.41,2.22,0.183,-0.734,-0.234,-0.387,0.184,0.127,0.164,0.547,0.034,0.057,0.127,0.527,0.196,0.042,0.556,0.444,17.16,53.51,38.6,19.96,27.27,39.29,37.06,7.53,13.54,26.97,111.01,25.49,26.31,32.72,66.57,30.79,30.54,17.64,105.22,32.59,1.0,1.0,1.33,1.22,1.0,1.29,1.0,1.0,1.33,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.29,1.0,1.0,nonDRNA
7.08,2.65,5.31,7.96,4.42,6.19,4.42,15.04,10.62,6.19,0.88,4.42,4.42,3.54,0.88,3.54,2.65,6.19,0.88,2.65,-0.092,-0.502,-0.317,-0.387,0.108,0.159,0.15,0.513,0.044,0.08,0.159,0.504,0.248,0.035,0.425,0.575,16.26,0.0,32.14,29.45,121.99,27.58,83.27,28.79,45.38,18.8,231.0,60.22,88.77,22.07,34.44,36.26,20.24,15.78,145.38,32.53,1.23,0.0,1.0,1.0,1.0,1.0,1.0,1.13,1.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.17,1.0,1.0,nonDRNA
11.16,0.0,8.58,5.15,0.86,6.01,1.29,6.44,3.0,10.3,0.43,4.72,1.72,6.44,4.29,7.3,8.58,9.87,0.43,3.43,0.269,-0.792,-0.385,-0.791,0.227,0.086,0.258,0.472,0.017,0.047,0.086,0.498,0.15,0.004,0.579,0.421,17.57,0.0,26.99,48.11,93.14,48.9,106.31,25.49,55.16,17.26,141.72,23.96,81.35,44.93,38.2,18.98,15.65,18.71,170.43,92.0,1.08,0.0,1.0,1.13,1.55,1.0,1.0,1.24,1.22,1.25,1.0,1.11,1.0,1.0,1.0,1.2,1.31,1.17,1.0,1.0,nonDRNA
8.87,0.0,6.03,5.32,3.9,4.26,1.42,6.03,3.19,8.51,1.06,6.74,2.84,5.32,4.26,10.64,11.35,8.16,0.35,1.77,0.297,-0.664,-0.304,-0.739,0.163,0.089,0.291,0.44,0.028,0.06,0.089,0.511,0.184,0.011,0.589,0.411,48.79,33.54,24.39,30.83,46.04,74.96,161.88,18.08,25.48,9.5,97.1,38.42,30.47,39.21,56.57,26.87,17.83,43.09,53.25,54.52,1.29,1.0,1.0,1.0,1.0,1.33,1.0,1.0,1.22,1.33,1.0,1.15,1.0,1.0,1.0,1.12,1.24,1.0,1.0,1.0,nonDRNA
5.51,3.94,5.91,5.91,2.76,2.36,0.39,7.09,7.09,16.54,1.57,5.12,4.33,2.76,3.54,6.69,9.84,4.72,1.97,1.97,-0.226,-0.524,-0.328,-0.56,0.096,0.11,0.252,0.469,0.043,0.067,0.11,0.583,0.205,0.055,0.484,0.516,22.69,0.0,16.81,21.04,22.42,14.06,42.93,17.01,26.04,27.9,127.01,17.14,19.88,57.94,27.1,15.42,22.28,50.21,121.19,54.2,1.33,0.0,1.0,1.0,1.25,1.0,1.0,1.0,1.33,1.0,1.0,1.0,1.25,1.4,1.0,1.17,1.29,1.57,1.0,1.0,nonDRNA
9.3,0.0,7.75,4.65,6.2,9.3,2.33,6.98,4.65,3.88,0.78,6.98,6.2,3.88,4.65,9.3,5.43,5.43,0.78,1.55,0.5,-0.502,-0.042,-0.523,0.187,0.116,0.202,0.488,0.062,0.085,0.116,0.45,0.248,0.008,0.597,0.403,30.39,158.72,22.59,32.9,26.45,25.67,41.0,30.01,42.32,36.49,86.67,37.14,27.73,44.81,33.12,46.34,35.7,23.84,147.03,42.32,1.14,1.0,1.06,1.08,1.06,1.06,1.0,1.0,1.13,1.13,1.0,1.06,1.05,1.08,1.07,1.0,1.08,1.11,1.0,1.1,nonDRNA
7.97,0.76,6.83,4.74,6.07,6.45,4.17,4.55,5.69,5.69,1.9,6.26,7.02,4.93,5.5,4.74,4.55,7.02,1.14,3.98,0.249,-0.201,-0.145,-0.268,0.121,0.154,0.19,0.478,0.07,0.112,0.154,0.467,0.287,0.027,0.516,0.484,23.75,69.78,25.79,18.62,52.09,25.19,62.19,34.35,40.42,17.88,72.53,37.52,25.96,25.03,27.56,29.63,32.97,40.14,118.86,82.3,1.09,1.0,1.0,1.17,1.0,1.11,1.0,1.0,1.0,1.41,1.0,1.0,1.32,1.4,1.33,1.17,1.0,1.17,1.0,1.0,nonDRNA
7.59,1.38,5.17,8.28,3.1,6.55,2.07,4.14,3.45,13.45,2.76,3.45,6.55,6.9,6.21,7.93,4.48,4.14,0.69,1.72,0.189,-0.476,-0.266,-0.519,0.254,0.117,0.224,0.49,0.066,0.055,0.117,0.483,0.217,0.041,0.472,0.528,14.99,0.0,7.05,9.31,25.01,21.81,0.0,27.53,19.74,16.48,32.99,64.64,0.0,71.07,51.7,20.77,42.59,12.41,0.0,65.79,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.4,1.0,1.0,1.0,1.0,0.0,1.67,1.0,1.0,1.0,1.22,0.0,1.0,nonDRNA
9.09,0.0,15.58,14.29,2.6,3.9,0.0,6.49,5.19,9.09,3.9,2.6,0.0,3.9,2.6,3.9,3.9,11.69,0.0,1.3,0.448,-0.606,-0.27,-1.056,0.208,0.078,0.13,0.468,0.0,0.039,0.078,0.468,0.104,0.039,0.506,0.494,50.14,71.44,21.55,17.81,42.47,26.86,66.31,33.34,27.85,14.87,53.4,80.99,44.67,46.2,64.25,25.7,30.73,59.32,83.76,52.08,1.36,1.4,1.0,1.33,1.0,1.12,1.0,1.29,1.47,1.21,1.0,1.0,1.22,1.33,1.22,1.24,1.0,1.53,1.0,1.25,nonDRNA
4.8,2.18,6.55,10.48,3.93,6.99,1.75,6.11,7.42,12.23,2.62,1.75,3.93,2.62,3.93,7.42,4.37,6.55,0.87,3.49,0.057,-0.515,-0.292,-0.569,0.121,0.131,0.201,0.48,0.039,0.083,0.131,0.476,0.188,0.048,0.445,0.555,25.28,208.18,35.07,17.46,26.95,21.74,108.3,45.91,52.13,20.97,133.64,67.36,31.82,35.61,30.52,27.11,34.36,29.39,105.0,42.76,1.16,1.0,1.11,1.21,1.0,1.07,1.0,1.0,1.0,1.21,1.0,1.0,1.11,1.06,1.05,1.08,1.11,1.09,1.0,1.06,nonDRNA
8.41,0.81,5.02,9.09,5.29,7.87,1.36,3.66,4.48,11.4,1.09,2.58,4.75,4.75,5.97,7.06,5.02,5.83,1.36,4.21,0.105,-0.458,-0.285,-0.532,0.167,0.118,0.218,0.497,0.047,0.109,0.118,0.476,0.191,0.019,0.474,0.526,14.17,451.18,24.65,28.38,63.77,22.08,82.46,35.83,84.85,19.01,102.38,103.32,30.31,65.54,26.39,38.41,36.11,23.86,148.02,86.59,1.3,1.0,1.11,1.13,1.04,1.23,1.05,1.11,1.08,1.08,1.0,1.0,1.09,1.1,1.08,1.27,1.15,1.17,1.0,1.0,nonDRNA
12.98,0.29,6.58,7.96,2.71,8.66,2.48,5.14,2.83,8.25,1.79,1.85,6.17,3.4,6.12,5.54,5.42,8.02,1.1,2.71,0.206,-0.713,-0.232,-0.494,0.279,0.114,0.174,0.548,0.062,0.065,0.114,0.519,0.194,0.021,0.555,0.445,21.57,172.53,29.18,29.59,36.41,23.36,39.67,30.91,39.49,32.94,92.33,18.03,48.74,37.1,34.44,12.06,70.56,20.59,74.45,19.74,1.0,1.0,1.0,1.0,1.0,1.13,1.0,1.15,1.0,1.0,1.0,1.17,1.0,1.0,1.0,1.08,1.0,1.0,1.0,1.18,nonDRNA
6.45,0.81,4.44,6.05,3.23,6.05,3.63,5.24,4.84,5.24,1.21,9.68,3.63,3.63,5.65,10.48,1.61,8.06,1.21,8.87,0.385,-0.107,-0.128,-0.392,-0.055,0.141,0.254,0.403,0.036,0.133,0.141,0.367,0.274,0.02,0.512,0.488,21.57,172.53,29.18,29.69,36.41,23.36,39.67,30.91,38.78,32.94,92.33,18.03,48.74,37.1,34.44,12.06,70.56,20.59,74.45,19.74,1.0,1.0,1.0,1.0,1.0,1.13,1.0,1.15,1.0,1.0,1.0,1.17,1.0,1.0,1.0,1.08,1.0,1.0,1.0,1.18,nonDRNA
6.45,0.81,4.44,5.65,3.23,6.05,3.63,5.24,5.24,5.24,1.21,9.68,3.63,3.63,5.65,10.48,1.61,8.06,1.21,8.87,0.382,-0.105,-0.138,-0.374,-0.052,0.145,0.254,0.403,0.036,0.133,0.145,0.367,0.278,0.02,0.512,0.488,28.18,17.13,18.92,27.38,40.1,35.89,47.19,53.29,24.04,21.27,23.8,24.84,88.23,35.16,37.81,24.05,50.19,18.66,24.86,0.0,1.0,1.17,1.0,1.29,1.0,1.29,1.0,1.0,1.29,1.0,1.0,1.33,1.0,1.29,1.0,1.2,1.0,1.73,1.0,0.0,nonDRNA
7.08,10.62,7.08,6.19,1.77,6.19,2.65,1.77,6.19,4.42,4.42,5.31,0.88,6.19,3.54,8.85,1.77,9.73,5.31,0.0,0.577,-0.441,0.206,-0.276,-0.233,0.124,0.274,0.416,0.009,0.071,0.124,0.478,0.186,0.15,0.575,0.425,24.94,72.08,22.41,12.41,26.64,16.8,29.19,21.72,30.89,23.94,119.93,31.14,71.53,28.83,29.8,32.74,30.36,23.96,66.76,41.66,1.18,1.0,1.43,1.18,1.0,1.0,1.0,1.0,1.14,1.0,1.0,1.0,1.0,1.0,1.62,1.0,1.0,1.0,1.0,1.0,nonDRNA
6.67,1.21,8.48,13.33,3.64,7.88,3.03,6.06,8.48,5.45,1.21,3.64,1.82,4.24,7.88,4.24,3.03,6.06,1.21,2.42,0.837,-0.237,-0.408,-0.529,0.064,0.194,0.152,0.4,0.018,0.073,0.194,0.364,0.248,0.024,0.43,0.57,18.22,90.4,29.8,22.08,28.19,17.92,94.16,26.1,23.75,17.57,48.85,72.6,94.28,40.5,35.18,45.59,24.21,26.1,203.31,71.47,1.39,1.0,1.0,1.24,1.13,1.26,1.0,1.1,1.0,1.07,1.0,1.22,1.0,1.14,1.0,1.0,1.0,1.26,1.0,1.0,nonDRNA
