ID,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN
Seq_2391,0.452,0.256,0.292,0.337,0.406,0.259
Seq_2392,0.37,0.309,0.322,0.394,0.355,0.288
Seq_2393,0.409,0.246,0.344,0.465,0.283,0.309
Seq_2394,0.5,0.244,0.256,0.404,0.363,0.203
Seq_2395,0.479,0.265,0.256,0.505,0.276,0.182
Seq_2396,0.442,0.291,0.267,0.457,0.311,0.254
Seq_2397,0.382,0.266,0.353,0.376,0.301,0.318
Seq_2398,0.426,0.284,0.29,0.393,0.246,0.317
Seq_2399,0.407,0.338,0.255,0.414,0.314,0.269
Seq_2400,0.496,0.231,0.273,0.408,0.35,0.227
Seq_2401,0.439,0.283,0.278,0.399,0.328,0.253
Seq_2402,0.465,0.276,0.258,0.447,0.313,0.235
Seq_2403,0.475,0.263,0.263,0.456,0.327,0.221
Seq_2404,0.43,0.306,0.264,0.446,0.295,0.215
Seq_2405,0.419,0.308,0.272,0.507,0.31,0.213
Seq_2406,0.488,0.262,0.25,0.516,0.25,0.206
Seq_2407,0.444,0.274,0.282,0.5,0.234,0.238
Seq_2408,0.453,0.241,0.305,0.379,0.347,0.267
Seq_2409,0.481,0.256,0.263,0.436,0.34,0.269
Seq_2410,0.519,0.226,0.255,0.412,0.329,0.243
Seq_2411,0.48,0.254,0.266,0.362,0.299,0.322
Seq_2412,0.443,0.308,0.25,0.433,0.32,0.244
Seq_2413,0.442,0.237,0.321,0.304,0.393,0.336
Seq_2414,0.48,0.265,0.256,0.448,0.285,0.238
Seq_2415,0.335,0.37,0.295,0.424,0.355,0.248
Seq_2416,0.451,0.32,0.23,0.508,0.311,0.139
Seq_2417,0.445,0.33,0.225,0.5,0.307,0.197
Seq_2418,0.405,0.286,0.31,0.426,0.335,0.248
Seq_2419,0.453,0.289,0.258,0.511,0.267,0.2
Seq_2420,0.453,0.291,0.255,0.511,0.267,0.203
Seq_2421,0.357,0.294,0.348,0.317,0.342,0.371
Seq_2422,0.459,0.284,0.258,0.441,0.314,0.218
Seq_2423,0.314,0.317,0.37,0.359,0.359,0.323
Seq_2424,0.442,0.317,0.242,0.383,0.358,0.242
Seq_2425,0.375,0.313,0.313,0.526,0.288,0.18
Seq_2426,0.378,0.344,0.278,0.439,0.318,0.258
Seq_2427,0.436,0.281,0.283,0.455,0.322,0.221
Seq_2428,0.468,0.267,0.265,0.483,0.267,0.253
Seq_2429,0.391,0.24,0.37,0.353,0.405,0.257
Seq_2430,0.383,0.358,0.259,0.439,0.343,0.243
Seq_2431,0.526,0.235,0.239,0.474,0.311,0.204
Seq_2432,0.455,0.271,0.274,0.457,0.318,0.235
Seq_2433,0.458,0.267,0.275,0.453,0.326,0.228
Seq_2434,0.38,0.343,0.277,0.437,0.358,0.195
Seq_2435,0.415,0.341,0.244,0.427,0.396,0.189
Seq_2436,0.405,0.331,0.265,0.405,0.37,0.23
Seq_2437,0.539,0.22,0.241,0.38,0.38,0.212
Seq_2438,0.455,0.254,0.291,0.429,0.339,0.19
Seq_2439,0.426,0.276,0.298,0.492,0.276,0.226
Seq_2440,0.383,0.33,0.286,0.515,0.243,0.252
Seq_2441,0.515,0.224,0.26,0.403,0.327,0.25
Seq_2442,0.493,0.284,0.223,0.398,0.327,0.265
Seq_2443,0.46,0.252,0.288,0.492,0.288,0.218
Seq_2444,0.47,0.262,0.268,0.411,0.298,0.244
Seq_2445,0.404,0.335,0.262,0.427,0.288,0.269
Seq_2446,0.519,0.346,0.135,0.538,0.231,0.173
Seq_2447,0.464,0.279,0.257,0.415,0.329,0.22
Seq_2448,0.466,0.287,0.247,0.404,0.373,0.24
Seq_2449,0.492,0.292,0.217,0.429,0.367,0.171
Seq_2450,0.421,0.3,0.279,0.451,0.305,0.251
Seq_2451,0.422,0.303,0.275,0.428,0.327,0.267
Seq_2452,0.462,0.289,0.249,0.616,0.213,0.184
Seq_2453,0.475,0.264,0.261,0.34,0.399,0.234
Seq_2454,0.449,0.27,0.281,0.629,0.157,0.225
Seq_2455,0.418,0.217,0.365,0.465,0.278,0.268
Seq_2456,0.423,0.264,0.313,0.443,0.351,0.23
Seq_2457,0.457,0.283,0.26,0.519,0.24,0.213
Seq_2458,0.44,0.267,0.293,0.633,0.157,0.23
Seq_2459,0.443,0.278,0.279,0.426,0.312,0.264
Seq_2460,0.471,0.247,0.282,0.441,0.37,0.176
Seq_2461,0.481,0.181,0.338,0.421,0.313,0.303
Seq_2462,0.317,0.213,0.47,0.364,0.273,0.436
Seq_2463,0.426,0.125,0.449,0.18,0.302,0.439
Seq_2464,0.398,0.274,0.328,0.425,0.313,0.296
Seq_2465,0.51,0.293,0.197,0.43,0.35,0.213
Seq_2466,0.381,0.292,0.327,0.401,0.32,0.291
Seq_2467,0.43,0.289,0.281,0.445,0.336,0.234
Seq_2468,0.43,0.3,0.27,0.525,0.251,0.209
Seq_2469,0.438,0.292,0.27,0.64,0.169,0.213
Seq_2470,0.482,0.234,0.284,0.462,0.284,0.234
Seq_2471,0.465,0.239,0.296,0.465,0.301,0.217
Seq_2472,0.465,0.218,0.317,0.491,0.287,0.265
Seq_2473,0.5,0.241,0.259,0.436,0.319,0.209
Seq_2474,0.434,0.283,0.283,0.452,0.277,0.262
Seq_2475,0.474,0.265,0.261,0.38,0.341,0.248
Seq_2476,0.452,0.268,0.28,0.421,0.367,0.207
Seq_2477,0.417,0.322,0.261,0.366,0.373,0.278
Seq_2478,0.377,0.312,0.312,0.372,0.277,0.325
Seq_2479,0.438,0.249,0.313,0.345,0.382,0.259
Seq_2480,0.369,0.315,0.316,0.415,0.313,0.255
Seq_2481,0.454,0.229,0.317,0.392,0.369,0.265
Seq_2482,0.442,0.179,0.379,0.268,0.422,0.352
Seq_2483,0.369,0.347,0.284,0.557,0.218,0.254
Seq_2484,0.4,0.316,0.284,0.414,0.327,0.256
Seq_2485,0.354,0.41,0.236,0.469,0.226,0.324
Seq_2486,0.455,0.186,0.359,0.393,0.428,0.138
Seq_2487,0.482,0.215,0.304,0.492,0.287,0.251
Seq_2488,0.449,0.294,0.257,0.44,0.344,0.232
Seq_2489,0.461,0.272,0.266,0.415,0.362,0.241
Seq_2490,0.583,0.189,0.228,0.383,0.396,0.172
Seq_2491,0.489,0.216,0.294,0.333,0.433,0.234
Seq_2492,0.424,0.216,0.36,0.341,0.382,0.315
Seq_2493,0.44,0.287,0.273,0.399,0.321,0.276
Seq_2494,0.366,0.404,0.23,0.528,0.205,0.255
Seq_2495,0.438,0.281,0.281,0.459,0.32,0.219
Seq_2496,0.478,0.273,0.249,0.457,0.285,0.228
Seq_2497,0.4,0.297,0.303,0.405,0.294,0.31
Seq_2498,0.498,0.264,0.239,0.392,0.356,0.25
Seq_2499,0.401,0.273,0.326,0.327,0.366,0.34
Seq_2500,0.434,0.271,0.295,0.473,0.289,0.236
Seq_2501,0.449,0.268,0.283,0.416,0.321,0.252
Seq_2502,0.446,0.211,0.342,0.361,0.381,0.282
Seq_2503,0.516,0.244,0.24,0.43,0.33,0.226
Seq_2504,0.456,0.265,0.279,0.537,0.265,0.162
Seq_2505,0.435,0.314,0.251,0.462,0.326,0.193
Seq_2506,0.51,0.228,0.263,0.405,0.301,0.27
Seq_2507,0.347,0.333,0.321,0.414,0.248,0.333
Seq_2508,0.348,0.331,0.321,0.416,0.248,0.331
Seq_2509,0.497,0.191,0.311,0.383,0.41,0.197
Seq_2510,0.473,0.281,0.246,0.431,0.31,0.224
Seq_2511,0.328,0.327,0.345,0.416,0.324,0.257
Seq_2512,0.479,0.288,0.233,0.444,0.3,0.237
Seq_2513,0.457,0.321,0.222,0.42,0.296,0.235
Seq_2514,0.481,0.252,0.268,0.426,0.323,0.261
Seq_2515,0.472,0.23,0.298,0.401,0.321,0.264
Seq_2516,0.481,0.268,0.252,0.494,0.261,0.235
Seq_2517,0.385,0.357,0.258,0.525,0.213,0.281
Seq_2518,0.457,0.213,0.33,0.506,0.239,0.205
Seq_2519,0.354,0.329,0.317,0.446,0.244,0.319
Seq_2520,0.396,0.281,0.323,0.454,0.246,0.291
Seq_2521,0.324,0.324,0.352,0.476,0.288,0.296
Seq_2522,0.459,0.227,0.314,0.383,0.312,0.323
Seq_2523,0.494,0.228,0.278,0.37,0.372,0.268
Seq_2524,0.442,0.212,0.346,0.355,0.378,0.291
Seq_2525,0.424,0.33,0.246,0.499,0.257,0.214
Seq_2526,0.442,0.278,0.28,0.393,0.373,0.217
Seq_2527,0.377,0.263,0.36,0.353,0.36,0.29
Seq_2528,0.424,0.263,0.313,0.38,0.387,0.256
Seq_2529,0.502,0.222,0.277,0.51,0.254,0.204
Seq_2530,0.448,0.269,0.283,0.544,0.229,0.227
Seq_2531,0.41,0.243,0.348,0.475,0.272,0.256
Seq_2532,0.465,0.267,0.269,0.512,0.244,0.213
Seq_2533,0.432,0.307,0.261,0.419,0.351,0.224
Seq_2534,0.476,0.256,0.269,0.346,0.414,0.239
Seq_2535,0.458,0.257,0.285,0.406,0.35,0.248
Seq_2536,0.461,0.269,0.269,0.43,0.356,0.22
Seq_2537,0.461,0.266,0.272,0.43,0.353,0.229
Seq_2538,0.427,0.3,0.273,0.382,0.386,0.232
Seq_2539,0.369,0.364,0.267,0.458,0.297,0.233
Seq_2540,0.416,0.302,0.282,0.441,0.324,0.255
Seq_2541,0.275,0.324,0.401,0.43,0.268,0.324
Seq_2542,0.463,0.235,0.302,0.409,0.359,0.244
Seq_2543,0.478,0.221,0.302,0.359,0.384,0.269
Seq_2544,0.332,0.394,0.274,0.472,0.226,0.314
Seq_2545,0.433,0.257,0.31,0.448,0.318,0.23
Seq_2546,0.36,0.28,0.36,0.44,0.32,0.213
Seq_2547,0.389,0.294,0.317,0.394,0.341,0.275
Seq_2548,0.459,0.261,0.28,0.448,0.327,0.21
Seq_2549,0.472,0.238,0.29,0.393,0.328,0.288
Seq_2550,0.381,0.268,0.351,0.391,0.36,0.273
Seq_2551,0.492,0.295,0.214,0.475,0.322,0.203
Seq_2552,0.381,0.211,0.408,0.387,0.315,0.316
Seq_2553,0.477,0.306,0.218,0.389,0.311,0.29
Seq_2554,0.444,0.303,0.253,0.394,0.404,0.192
Seq_2555,0.441,0.271,0.287,0.357,0.348,0.295
Seq_2556,0.581,0.146,0.273,0.48,0.318,0.157
Seq_2557,0.423,0.268,0.31,0.498,0.272,0.277
Seq_2558,0.472,0.245,0.283,0.386,0.365,0.276
Seq_2559,0.459,0.257,0.284,0.372,0.358,0.223
Seq_2560,0.427,0.297,0.276,0.491,0.269,0.225
Seq_2561,0.386,0.367,0.246,0.413,0.348,0.239
Seq_2562,0.45,0.284,0.266,0.468,0.301,0.202
Seq_2563,0.472,0.239,0.289,0.449,0.324,0.242
Seq_2564,0.473,0.243,0.284,0.445,0.302,0.256
Seq_2565,0.403,0.223,0.374,0.3,0.401,0.306
Seq_2566,0.469,0.288,0.243,0.503,0.282,0.192
Seq_2567,0.435,0.288,0.276,0.45,0.274,0.274
Seq_2568,0.488,0.258,0.254,0.462,0.296,0.196
Seq_2569,0.398,0.327,0.275,0.454,0.302,0.257
Seq_2570,0.339,0.249,0.412,0.469,0.314,0.31
Seq_2571,0.399,0.337,0.265,0.523,0.245,0.241
Seq_2572,0.474,0.282,0.244,0.436,0.344,0.197
Seq_2573,0.373,0.325,0.302,0.423,0.302,0.264
Seq_2574,0.433,0.304,0.262,0.532,0.262,0.19
Seq_2575,0.413,0.277,0.31,0.433,0.313,0.255
Seq_2576,0.462,0.267,0.271,0.483,0.312,0.215
Seq_2577,0.483,0.262,0.255,0.423,0.282,0.242
Seq_2578,0.53,0.254,0.216,0.524,0.281,0.138
Seq_2579,0.39,0.317,0.292,0.463,0.308,0.249
Seq_2580,0.554,0.207,0.239,0.537,0.264,0.199
Seq_2581,0.409,0.317,0.274,0.451,0.293,0.213
Seq_2582,0.366,0.294,0.34,0.451,0.288,0.307
Seq_2583,0.455,0.25,0.295,0.356,0.364,0.3
Seq_2584,0.425,0.317,0.257,0.453,0.341,0.217
Seq_2585,0.559,0.215,0.226,0.355,0.387,0.194
Seq_2586,0.478,0.296,0.226,0.43,0.293,0.264
Seq_2587,0.448,0.276,0.276,0.47,0.263,0.216
Seq_2588,0.49,0.275,0.235,0.385,0.388,0.221
Seq_2589,0.374,0.283,0.343,0.382,0.395,0.225
Seq_2590,0.342,0.259,0.4,0.468,0.28,0.23
Seq_2591,0.528,0.186,0.286,0.319,0.369,0.295
Seq_2592,0.422,0.31,0.268,0.383,0.339,0.263
Seq_2593,0.429,0.267,0.304,0.493,0.281,0.231
Seq_2594,0.504,0.26,0.236,0.575,0.173,0.205
Seq_2595,0.482,0.26,0.258,0.469,0.346,0.201
Seq_2596,0.553,0.21,0.237,0.521,0.279,0.217
Seq_2597,0.449,0.304,0.247,0.413,0.336,0.233
Seq_2598,0.474,0.244,0.282,0.373,0.373,0.25
Seq_2599,0.431,0.312,0.258,0.474,0.291,0.232
Seq_2600,0.426,0.319,0.255,0.481,0.286,0.23
Seq_2601,0.421,0.132,0.447,0.305,0.409,0.359
Seq_2602,0.371,0.33,0.3,0.401,0.324,0.277
Seq_2603,0.472,0.189,0.339,0.422,0.317,0.294
Seq_2604,0.51,0.188,0.303,0.494,0.287,0.211
Seq_2605,0.459,0.222,0.319,0.339,0.36,0.318
Seq_2606,0.476,0.28,0.244,0.433,0.353,0.209
Seq_2607,0.436,0.338,0.226,0.391,0.346,0.233
Seq_2608,0.456,0.28,0.264,0.462,0.27,0.277
Seq_2609,0.419,0.267,0.313,0.401,0.382,0.212
Seq_2610,0.415,0.272,0.313,0.406,0.382,0.207
Seq_2611,0.422,0.3,0.278,0.508,0.284,0.201
Seq_2612,0.492,0.267,0.241,0.419,0.356,0.241
Seq_2613,0.448,0.266,0.287,0.397,0.343,0.263
Seq_2614,0.373,0.311,0.316,0.424,0.306,0.27
Seq_2615,0.454,0.284,0.263,0.485,0.284,0.216
Seq_2616,0.435,0.292,0.273,0.461,0.292,0.251
Seq_2617,0.491,0.238,0.271,0.452,0.31,0.211
Seq_2618,0.548,0.233,0.219,0.54,0.226,0.189
Seq_2619,0.458,0.267,0.275,0.415,0.286,0.264
Seq_2620,0.464,0.282,0.254,0.46,0.234,0.282
Seq_2621,0.504,0.251,0.245,0.482,0.297,0.226
Seq_2622,0.44,0.308,0.252,0.436,0.319,0.265
Seq_2623,0.5,0.233,0.267,0.382,0.316,0.267
Seq_2624,0.48,0.333,0.187,0.347,0.387,0.253
Seq_2625,0.382,0.281,0.338,0.395,0.364,0.232
Seq_2626,0.464,0.264,0.272,0.51,0.244,0.24
Seq_2627,0.46,0.251,0.288,0.465,0.294,0.255
Seq_2628,0.458,0.282,0.26,0.395,0.345,0.242
Seq_2629,0.462,0.278,0.26,0.392,0.351,0.244
Seq_2630,0.495,0.242,0.262,0.388,0.385,0.202
Seq_2631,0.495,0.242,0.262,0.39,0.388,0.198
Seq_2632,0.516,0.196,0.288,0.315,0.429,0.234
Seq_2633,0.433,0.244,0.323,0.441,0.291,0.276
Seq_2634,0.464,0.279,0.256,0.409,0.381,0.195
Seq_2635,0.565,0.219,0.216,0.488,0.272,0.204
Seq_2636,0.557,0.235,0.208,0.458,0.302,0.139
Seq_2637,0.435,0.273,0.292,0.425,0.27,0.258
Seq_2638,0.42,0.313,0.266,0.432,0.336,0.222
Seq_2639,0.437,0.228,0.335,0.317,0.392,0.339
Seq_2640,0.474,0.244,0.282,0.372,0.385,0.244
Seq_2641,0.486,0.292,0.222,0.497,0.314,0.184
Seq_2642,0.398,0.357,0.244,0.486,0.28,0.226
Seq_2643,0.457,0.286,0.257,0.425,0.337,0.244
Seq_2644,0.44,0.289,0.271,0.408,0.313,0.261
Seq_2645,0.433,0.291,0.276,0.415,0.314,0.254
Seq_2646,0.458,0.276,0.266,0.417,0.314,0.266
Seq_2647,0.465,0.248,0.287,0.366,0.384,0.255
Seq_2648,0.421,0.26,0.318,0.424,0.311,0.264
Seq_2649,0.452,0.297,0.251,0.458,0.357,0.185
Seq_2650,0.492,0.212,0.296,0.393,0.327,0.249
Seq_2651,0.403,0.285,0.312,0.422,0.317,0.26
Seq_2652,0.391,0.321,0.287,0.394,0.379,0.217
Seq_2653,0.49,0.258,0.251,0.409,0.368,0.215
Seq_2654,0.434,0.301,0.266,0.442,0.356,0.178
Seq_2655,0.421,0.268,0.311,0.378,0.329,0.265
Seq_2656,0.511,0.273,0.216,0.522,0.264,0.189
Seq_2657,0.469,0.278,0.253,0.402,0.335,0.237
Seq_2658,0.471,0.412,0.118,0.706,0.147,0.147
Seq_2659,0.436,0.274,0.29,0.398,0.342,0.247
Seq_2660,0.467,0.255,0.278,0.411,0.336,0.227
Seq_2661,0.453,0.242,0.306,0.353,0.344,0.317
Seq_2662,0.414,0.359,0.227,0.55,0.195,0.227
Seq_2663,0.43,0.318,0.252,0.436,0.344,0.245
Seq_2664,0.401,0.308,0.292,0.454,0.294,0.273
Seq_2665,0.463,0.298,0.239,0.468,0.306,0.218
Seq_2666,0.511,0.238,0.251,0.412,0.344,0.233
Seq_2667,0.418,0.272,0.311,0.423,0.329,0.243
Seq_2668,0.379,0.307,0.314,0.41,0.352,0.229
Seq_2669,0.498,0.298,0.205,0.493,0.322,0.151
Seq_2670,0.475,0.309,0.215,0.392,0.326,0.293
Seq_2671,0.397,0.377,0.226,0.579,0.183,0.242
Seq_2672,0.454,0.25,0.297,0.477,0.27,0.254
Seq_2673,0.454,0.296,0.249,0.468,0.299,0.241
Seq_2674,0.423,0.301,0.276,0.453,0.285,0.247
Seq_2675,0.365,0.319,0.316,0.454,0.307,0.253
Seq_2676,0.522,0.216,0.261,0.343,0.366,0.276
Seq_2677,0.407,0.301,0.292,0.475,0.314,0.231
Seq_2678,0.394,0.328,0.278,0.48,0.28,0.247
Seq_2679,0.471,0.261,0.268,0.522,0.268,0.185
Seq_2680,0.393,0.366,0.241,0.544,0.251,0.194
Seq_2681,0.433,0.313,0.253,0.535,0.263,0.194
Seq_2682,0.475,0.222,0.304,0.381,0.327,0.304
Seq_2683,0.46,0.26,0.28,0.441,0.28,0.264
Seq_2684,0.432,0.287,0.281,0.46,0.275,0.253
Seq_2685,0.41,0.285,0.304,0.45,0.274,0.3
Seq_2686,0.475,0.247,0.278,0.463,0.288,0.225
Seq_2687,0.383,0.272,0.344,0.428,0.323,0.264
Seq_2688,0.488,0.26,0.252,0.455,0.301,0.23
Seq_2689,0.458,0.305,0.237,0.412,0.298,0.267
Seq_2690,0.391,0.391,0.218,0.436,0.291,0.268
Seq_2691,0.416,0.327,0.257,0.453,0.302,0.237
Seq_2692,0.513,0.206,0.28,0.28,0.41,0.242
Seq_2693,0.431,0.296,0.273,0.446,0.29,0.249
Seq_2694,0.481,0.256,0.263,0.511,0.233,0.188
Seq_2695,0.435,0.278,0.287,0.379,0.334,0.307
Seq_2696,0.449,0.256,0.295,0.354,0.37,0.282
Seq_2697,0.513,0.18,0.307,0.506,0.287,0.192
Seq_2698,0.47,0.286,0.244,0.462,0.289,0.226
Seq_2699,0.442,0.225,0.333,0.351,0.372,0.307
Seq_2700,0.406,0.216,0.377,0.337,0.379,0.347
Seq_2701,0.53,0.232,0.239,0.48,0.286,0.219
Seq_2702,0.341,0.312,0.346,0.38,0.351,0.302
Seq_2703,0.343,0.261,0.396,0.469,0.31,0.249
Seq_2704,0.379,0.314,0.307,0.438,0.292,0.299
Seq_2705,0.406,0.282,0.312,0.455,0.301,0.264
Seq_2706,0.436,0.276,0.287,0.444,0.314,0.238
Seq_2707,0.46,0.153,0.388,0.349,0.321,0.349
Seq_2708,0.476,0.272,0.252,0.511,0.275,0.175
Seq_2709,0.489,0.24,0.271,0.414,0.357,0.246
Seq_2710,0.461,0.276,0.264,0.412,0.341,0.247
Seq_2711,0.401,0.36,0.238,0.453,0.285,0.273
Seq_2712,0.403,0.317,0.28,0.453,0.305,0.263
Seq_2713,0.403,0.325,0.272,0.449,0.305,0.263
Seq_2714,0.594,0.2,0.206,0.479,0.303,0.206
Seq_2715,0.443,0.303,0.255,0.446,0.303,0.236
Seq_2716,0.408,0.316,0.276,0.437,0.29,0.268
Seq_2717,0.437,0.313,0.25,0.444,0.283,0.245
Seq_2718,0.455,0.31,0.235,0.435,0.33,0.216
Seq_2719,0.431,0.319,0.25,0.388,0.319,0.281
Seq_2720,0.426,0.292,0.283,0.468,0.283,0.246
Seq_2721,0.483,0.288,0.229,0.454,0.307,0.22
Seq_2722,0.43,0.296,0.274,0.404,0.304,0.256
Seq_2723,0.463,0.283,0.255,0.515,0.274,0.224
Seq_2724,0.455,0.291,0.253,0.395,0.361,0.246
Seq_2725,0.388,0.329,0.283,0.439,0.376,0.173
Seq_2726,0.445,0.248,0.307,0.515,0.252,0.237
Seq_2727,0.438,0.275,0.286,0.358,0.382,0.274
Seq_2728,0.529,0.259,0.212,0.502,0.297,0.167
Seq_2729,0.341,0.308,0.351,0.37,0.357,0.273
Seq_2730,0.479,0.277,0.244,0.446,0.393,0.145
Seq_2731,0.562,0.244,0.194,0.512,0.244,0.169
Seq_2732,0.443,0.29,0.267,0.481,0.267,0.267
Seq_2733,0.47,0.271,0.26,0.44,0.316,0.235
Seq_2734,0.376,0.402,0.222,0.6,0.163,0.239
Seq_2735,0.474,0.28,0.246,0.43,0.352,0.225
Seq_2736,0.464,0.259,0.277,0.455,0.339,0.228
Seq_2737,0.473,0.276,0.252,0.429,0.329,0.234
Seq_2738,0.399,0.355,0.246,0.417,0.317,0.257
Seq_2739,0.449,0.302,0.249,0.426,0.35,0.214
Seq_2740,0.379,0.315,0.306,0.439,0.376,0.213
Seq_2741,0.421,0.341,0.238,0.433,0.378,0.201
Seq_2742,0.492,0.242,0.266,0.556,0.254,0.19
Seq_2743,0.372,0.316,0.312,0.38,0.359,0.278
Seq_2744,0.542,0.238,0.22,0.447,0.293,0.216
Seq_2745,0.468,0.255,0.277,0.44,0.326,0.184
Seq_2746,0.438,0.315,0.247,0.479,0.315,0.205
Seq_2747,0.472,0.311,0.217,0.436,0.347,0.212
Seq_2748,0.411,0.291,0.297,0.417,0.36,0.246
Seq_2749,0.474,0.293,0.233,0.481,0.274,0.231
Seq_2750,0.457,0.282,0.261,0.433,0.31,0.242
Seq_2751,0.364,0.315,0.32,0.411,0.336,0.262
Seq_2752,0.476,0.296,0.228,0.483,0.318,0.199
Seq_2753,0.48,0.232,0.288,0.392,0.344,0.268
Seq_2754,0.431,0.312,0.257,0.446,0.289,0.244
Seq_2755,0.428,0.314,0.258,0.476,0.28,0.224
Seq_2756,0.395,0.298,0.307,0.41,0.333,0.252
Seq_2757,0.402,0.292,0.306,0.404,0.335,0.251
Seq_2758,0.398,0.298,0.305,0.415,0.338,0.243
Seq_2759,0.401,0.29,0.309,0.402,0.334,0.258
Seq_2760,0.4,0.295,0.305,0.406,0.337,0.245
Seq_2761,0.387,0.294,0.319,0.413,0.33,0.255
Seq_2762,0.474,0.262,0.265,0.48,0.288,0.212
Seq_2763,0.528,0.245,0.226,0.509,0.321,0.208
Seq_2764,0.416,0.361,0.224,0.425,0.301,0.283
Seq_2765,0.503,0.275,0.222,0.46,0.275,0.212
Seq_2766,0.517,0.27,0.213,0.464,0.408,0.104
Seq_2767,0.397,0.315,0.287,0.447,0.323,0.238
Seq_2768,0.401,0.299,0.299,0.518,0.336,0.161
Seq_2769,0.462,0.269,0.27,0.389,0.365,0.234
Seq_2770,0.465,0.284,0.251,0.498,0.329,0.171
Seq_2771,0.443,0.284,0.273,0.482,0.28,0.223
Seq_2772,0.496,0.223,0.281,0.432,0.353,0.23
Seq_2773,0.369,0.25,0.381,0.279,0.39,0.328
Seq_2774,0.446,0.202,0.351,0.346,0.374,0.297
Seq_2775,0.42,0.272,0.308,0.407,0.328,0.281
Seq_2776,0.439,0.294,0.267,0.414,0.318,0.274
Seq_2777,0.454,0.234,0.312,0.327,0.424,0.259
Seq_2778,0.452,0.246,0.303,0.434,0.316,0.259
Seq_2779,0.388,0.307,0.305,0.438,0.321,0.237
Seq_2780,0.412,0.321,0.267,0.471,0.271,0.208
Seq_2781,0.461,0.228,0.311,0.493,0.256,0.237
Seq_2782,0.448,0.295,0.257,0.399,0.332,0.265
Seq_2783,0.406,0.336,0.257,0.504,0.223,0.262
Seq_2784,0.461,0.257,0.283,0.507,0.322,0.224
Seq_2785,0.502,0.266,0.232,0.456,0.322,0.21
Seq_2786,0.515,0.267,0.218,0.461,0.316,0.209
Seq_2787,0.461,0.298,0.242,0.393,0.343,0.242
Seq_2788,0.462,0.275,0.263,0.437,0.367,0.215
Seq_2789,0.502,0.218,0.28,0.355,0.401,0.231
Seq_2790,0.458,0.28,0.262,0.407,0.341,0.238
Seq_2791,0.497,0.242,0.26,0.376,0.371,0.26
Seq_2792,0.377,0.252,0.371,0.466,0.304,0.24
Seq_2793,0.44,0.304,0.256,0.485,0.277,0.216
Seq_2794,0.465,0.273,0.261,0.412,0.36,0.208
Seq_2795,0.466,0.261,0.273,0.395,0.364,0.227
Seq_2796,0.436,0.286,0.278,0.484,0.304,0.194
Seq_2797,0.424,0.328,0.248,0.488,0.296,0.256
Seq_2798,0.548,0.214,0.238,0.516,0.294,0.183
Seq_2799,0.46,0.291,0.249,0.485,0.295,0.198
Seq_2800,0.521,0.268,0.211,0.493,0.31,0.197
Seq_2801,0.401,0.282,0.317,0.422,0.358,0.229
Seq_2802,0.486,0.297,0.217,0.449,0.326,0.196
Seq_2803,0.341,0.31,0.349,0.469,0.318,0.24
Seq_2804,0.486,0.269,0.244,0.452,0.338,0.216
Seq_2805,0.428,0.314,0.258,0.437,0.305,0.25
Seq_2806,0.466,0.277,0.257,0.451,0.344,0.205
Seq_2807,0.489,0.316,0.195,0.398,0.338,0.256
Seq_2808,0.361,0.345,0.294,0.422,0.305,0.272
Seq_2809,0.425,0.288,0.286,0.45,0.341,0.21
Seq_2810,0.466,0.269,0.266,0.372,0.317,0.307
Seq_2811,0.393,0.283,0.324,0.405,0.352,0.276
Seq_2812,0.488,0.291,0.221,0.455,0.31,0.202
Seq_2813,0.444,0.32,0.237,0.444,0.325,0.254
Seq_2814,0.5,0.186,0.314,0.359,0.389,0.307
Seq_2815,0.448,0.248,0.304,0.493,0.263,0.267
Seq_2816,0.458,0.291,0.251,0.455,0.324,0.214
Seq_2817,0.452,0.277,0.272,0.454,0.325,0.226
Seq_2818,0.483,0.195,0.322,0.473,0.302,0.238
Seq_2819,0.484,0.251,0.265,0.34,0.399,0.326
Seq_2820,0.505,0.29,0.205,0.475,0.29,0.238
Seq_2821,0.415,0.276,0.309,0.439,0.289,0.272
Seq_2822,0.457,0.24,0.303,0.392,0.298,0.269
Seq_2823,0.451,0.251,0.299,0.381,0.28,0.287
Seq_2824,0.449,0.194,0.357,0.415,0.335,0.294
Seq_2825,0.448,0.226,0.326,0.43,0.23,0.307
Seq_2826,0.474,0.283,0.243,0.445,0.314,0.224
Seq_2827,0.363,0.376,0.26,0.462,0.278,0.289
Seq_2828,0.419,0.313,0.268,0.513,0.234,0.242
Seq_2829,0.454,0.283,0.263,0.467,0.283,0.263
Seq_2830,0.483,0.233,0.284,0.525,0.288,0.183
Seq_2831,0.475,0.302,0.223,0.45,0.332,0.218
Seq_2832,0.49,0.266,0.244,0.401,0.349,0.22
Seq_2833,0.485,0.27,0.245,0.396,0.35,0.228
Seq_2834,0.435,0.267,0.298,0.366,0.36,0.304
Seq_2835,0.421,0.297,0.282,0.386,0.327,0.297
Seq_2836,0.426,0.294,0.28,0.431,0.311,0.271
Seq_2837,0.404,0.223,0.373,0.421,0.318,0.27
Seq_2838,0.474,0.297,0.23,0.478,0.292,0.244
Seq_2839,0.447,0.325,0.228,0.5,0.325,0.193
