ID,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5
Seq_1511,0.44,-0.552,-0.328,-0.55,0.118
Seq_1512,0.253,-0.414,-0.015,-0.366,0.242
Seq_1513,0.003,-0.68,-0.161,-0.229,0.293
Seq_1514,-0.105,-0.413,-0.446,-0.411,0.194
Seq_1515,0.097,-0.701,-0.152,-0.359,0.214
Seq_1516,0.327,-0.527,-0.336,-0.482,0.21
Seq_1517,0.031,-0.174,-0.328,-0.341,0.165
Seq_1518,0.317,-0.594,-0.213,-0.443,0.144
Seq_1519,0.523,-0.334,-0.232,-0.308,0.108
Seq_1520,0.438,-0.351,-0.224,-0.326,0.143
Seq_1521,-0.069,-0.602,-0.231,-0.363,0.156
Seq_1522,0.068,-0.705,-0.194,-0.465,0.0
Seq_1523,-0.017,-0.281,-0.235,-0.29,0.201
Seq_1524,0.037,-0.367,-0.274,-0.406,0.0
Seq_1525,0.427,-1.075,0.506,-0.43,-0.029
Seq_1526,-0.128,-0.354,0.005,-0.385,0.157
Seq_1527,0.209,-0.495,-0.362,-0.474,-0.024
Seq_1528,0.11,-0.898,-0.187,-0.559,0.055
Seq_1529,-0.32,-0.472,-0.359,-0.47,0.174
Seq_1530,0.619,-0.5,-0.206,-0.463,0.079
Seq_1531,0.168,-0.639,-0.284,-0.382,0.217
Seq_1532,-0.06,-0.326,-0.296,-0.475,0.109
Seq_1533,-0.203,-0.435,-0.294,-0.387,0.104
Seq_1534,0.18,-0.801,-0.226,-0.429,0.026
Seq_1535,0.229,-0.859,-0.11,-0.404,-0.093
Seq_1536,0.194,-0.421,-0.306,-0.308,0.084
Seq_1537,0.203,-0.422,-0.303,-0.286,0.085
Seq_1538,0.14,-0.71,-0.36,-0.495,0.112
Seq_1539,-0.048,-0.318,-0.123,-0.335,0.078
Seq_1540,-0.125,-0.655,-0.192,-0.432,0.062
Seq_1541,-0.161,-0.365,-0.325,-0.434,0.117
Seq_1542,0.179,-0.492,-0.26,-0.4,0.086
Seq_1543,0.031,-0.79,-0.08,-0.367,0.262
Seq_1544,0.221,-0.356,-0.351,-0.365,0.235
Seq_1545,0.005,-0.329,-0.259,-0.326,0.094
Seq_1546,-0.094,-0.631,-0.167,-0.239,0.205
Seq_1547,0.048,-0.452,-0.467,-0.321,0.275
Seq_1548,0.297,-0.292,-0.371,-0.389,0.197
Seq_1549,0.26,-0.48,-0.28,-0.534,0.206
Seq_1550,0.123,-0.703,-0.399,-0.365,0.23
Seq_1551,0.534,-0.634,-0.232,-0.61,0.123
Seq_1552,0.26,-0.865,0.069,-0.376,-0.136
Seq_1553,0.007,-0.673,-0.222,-0.304,0.117
Seq_1554,0.153,-0.309,-0.314,-0.593,0.115
Seq_1555,-0.137,-0.432,-0.243,-0.352,0.128
Seq_1556,0.011,-0.845,-0.34,-0.634,0.184
Seq_1557,-0.092,-0.72,-0.254,-0.472,0.262
Seq_1558,0.066,-0.443,-0.348,-0.336,0.155
Seq_1559,-0.015,-0.378,-0.421,-0.381,0.126
Seq_1560,0.044,-0.372,-0.242,-0.382,0.149
Seq_1561,0.35,-0.77,-0.328,-0.378,0.011
Seq_1562,0.223,-0.441,-0.195,-0.434,-0.078
Seq_1563,0.522,-0.604,-0.585,-0.181,0.146
Seq_1564,0.068,-0.74,-0.222,-0.347,0.17
Seq_1565,0.056,-0.76,-0.247,-0.356,0.184
Seq_1566,-0.083,-0.427,-0.181,-0.404,0.169
Seq_1567,0.254,-0.395,-0.098,-0.339,0.084
Seq_1568,-0.16,-0.506,-0.26,-0.401,0.32
Seq_1569,-0.011,-0.259,-0.182,-0.292,0.225
Seq_1570,0.21,-0.509,-0.371,-0.381,0.079
Seq_1571,0.243,-0.221,-0.147,-0.332,0.077
Seq_1572,0.036,-0.587,-0.109,-0.536,0.155
Seq_1573,0.218,-0.342,-0.098,-0.126,0.089
Seq_1574,-0.938,-0.506,-0.2,-0.129,0.088
Seq_1575,0.295,-0.693,-0.146,-0.78,0.261
Seq_1576,0.186,-0.471,-0.086,-0.624,0.121
Seq_1577,-0.15,-0.53,-0.249,-0.483,0.159
Seq_1578,0.171,-0.103,-0.607,-0.569,0.037
Seq_1579,0.339,-0.633,-0.639,-0.616,0.158
Seq_1580,0.033,-0.68,-0.249,-0.488,0.168
Seq_1581,-0.106,-0.281,-0.261,-0.357,0.082
Seq_1582,-0.11,-0.288,-0.263,-0.364,0.079
Seq_1583,-0.015,-0.416,-0.51,-0.429,0.179
Seq_1584,0.368,-0.619,-0.35,-0.584,0.155
Seq_1585,0.098,-0.339,-0.404,-0.477,0.152
Seq_1586,0.131,-0.66,-0.302,-0.463,0.255
Seq_1587,0.067,-0.119,-0.455,-0.459,-0.049
Seq_1588,0.496,-0.476,-0.224,-0.559,0.132
Seq_1589,0.138,-0.527,-0.586,-0.411,0.005
Seq_1590,-0.007,-0.292,-0.487,-0.418,0.083
Seq_1591,0.198,-0.202,-0.084,-0.197,0.122
Seq_1592,0.149,-0.248,-0.084,-0.16,0.149
Seq_1593,0.1,-0.67,-0.361,-0.485,0.178
Seq_1594,0.02,-0.83,-0.225,-0.567,0.162
Seq_1595,-0.056,-0.177,-0.141,-0.313,0.017
Seq_1596,0.228,-0.33,-0.686,-0.008,0.162
Seq_1597,-0.127,-0.209,-0.167,-0.324,0.001
Seq_1598,0.467,-0.521,-0.252,-0.48,0.141
Seq_1599,-0.08,-0.321,-0.264,-0.436,0.095
Seq_1600,-0.189,-0.604,-0.123,-0.512,0.245
Seq_1601,0.106,-0.182,-0.197,-0.349,0.038
Seq_1602,0.013,-0.412,-0.173,-0.281,0.163
Seq_1603,0.246,-0.628,-0.244,-0.565,0.234
Seq_1604,-0.019,-0.623,-0.446,-0.451,0.113
Seq_1605,0.2,-0.187,-0.466,-0.358,0.063
Seq_1606,0.479,-0.398,-0.298,-0.54,0.027
Seq_1607,0.331,-0.522,-0.293,-0.461,0.06
Seq_1608,0.315,-0.76,-0.263,-0.361,-0.047
Seq_1609,0.13,-0.767,-0.383,-0.449,0.161
Seq_1610,0.226,-0.104,-0.353,-0.396,0.157
Seq_1611,-0.0,-0.42,-0.101,-0.429,0.108
Seq_1612,0.024,-0.54,-0.23,-0.366,0.049
Seq_1613,0.06,-0.609,-0.34,-0.562,0.173
Seq_1614,0.075,-0.676,-0.256,-0.519,0.187
Seq_1615,0.308,-1.025,0.251,-0.454,0.033
Seq_1616,-0.093,-0.511,-0.136,-0.41,-0.014
Seq_1617,0.003,-0.35,-0.446,-0.488,0.085
Seq_1618,0.061,-0.704,-0.376,-0.56,0.011
Seq_1619,0.066,-0.362,-0.314,-0.451,0.082
Seq_1620,0.15,-0.506,-0.119,-0.45,0.072
Seq_1621,-0.042,-0.517,-0.075,-0.443,0.007
Seq_1622,0.349,-0.438,-0.385,-0.506,0.165
Seq_1623,-0.144,-0.799,-0.061,-0.299,0.125
Seq_1624,0.033,-0.291,-0.36,-0.385,0.065
Seq_1625,0.188,-0.883,-0.348,-0.555,0.191
Seq_1626,0.148,-0.602,-0.002,-0.452,0.117
Seq_1627,-0.162,-0.369,-0.198,-0.298,0.144
Seq_1628,0.087,-0.93,-0.238,-0.399,0.169
Seq_1629,-0.005,-0.892,-0.277,-0.523,0.238
Seq_1630,0.104,-0.429,-0.286,-0.389,0.111
Seq_1631,0.115,-0.781,-0.276,-0.414,0.169
Seq_1632,-0.185,-0.667,-0.535,-0.294,0.176
Seq_1633,0.283,-0.392,-0.303,-0.476,0.111
Seq_1634,0.36,-0.508,-0.52,-0.478,0.031
Seq_1635,0.645,-0.822,-0.016,-0.447,0.081
Seq_1636,0.366,-0.153,-0.472,-0.403,0.026
Seq_1637,0.953,-0.061,-0.605,0.522,0.227
Seq_1638,-0.164,-0.508,-0.325,-0.432,0.339
Seq_1639,0.046,-0.236,-0.415,-0.319,0.204
Seq_1640,0.154,-0.467,-0.165,-0.369,0.169
Seq_1641,0.143,-0.717,-0.124,-0.389,0.245
Seq_1642,0.056,-0.92,-0.215,-0.422,0.145
Seq_1643,0.048,-0.718,-0.203,-0.398,0.204
Seq_1644,0.444,-0.467,-0.285,-0.423,0.224
Seq_1645,0.32,-0.457,-0.207,-0.274,0.008
Seq_1646,0.322,-0.46,-0.209,-0.286,0.002
Seq_1647,0.105,-0.279,-0.033,-0.417,-0.001
Seq_1648,0.082,-0.523,-0.301,-0.295,0.092
Seq_1649,0.251,-0.339,-0.418,-0.448,-0.002
Seq_1650,0.15,-0.564,-0.205,-0.318,0.155
Seq_1651,0.105,-0.34,-0.045,-0.64,0.07
Seq_1652,0.028,-0.726,-0.289,-0.466,0.2
Seq_1653,0.143,-0.445,-0.138,-0.331,0.152
Seq_1654,0.21,-0.563,-0.172,-0.339,0.139
Seq_1655,0.337,-0.392,0.407,-0.56,0.007
Seq_1656,0.244,-0.592,-0.26,-0.465,0.089
Seq_1657,0.128,0.098,-0.861,0.199,0.05
Seq_1658,0.081,-0.351,-0.211,-0.451,0.093
Seq_1659,0.261,-0.5,-0.472,-0.519,0.146
Seq_1660,0.016,-0.721,-0.282,-0.47,0.218
Seq_1661,0.25,-0.282,-0.351,-0.206,0.102
Seq_1662,0.298,-0.466,-0.218,-0.557,0.074
Seq_1663,0.109,-0.769,-0.124,-0.392,0.352
Seq_1664,0.123,-0.705,-0.198,-0.393,0.099
Seq_1665,0.187,-0.663,-0.206,-0.382,0.104
Seq_1666,0.096,-0.603,-0.36,-0.47,0.122
Seq_1667,0.003,-0.161,-0.164,-0.319,0.124
Seq_1668,0.226,-0.44,-0.301,-0.215,0.188
Seq_1669,0.073,-0.312,-0.302,-0.384,0.098
Seq_1670,-0.003,-0.558,-0.246,-0.448,0.238
Seq_1671,0.078,-0.679,-0.317,-0.416,0.17
Seq_1672,0.102,-0.472,-0.173,-0.428,0.068
Seq_1673,-0.058,-0.448,-0.134,-0.383,0.255
Seq_1674,-0.185,-0.482,-0.235,-0.376,0.251
Seq_1675,-0.55,-1.086,-0.332,-0.308,0.37
Seq_1676,0.406,-0.485,-0.15,-0.315,0.36
Seq_1677,0.113,-0.471,-0.252,-0.357,0.233
Seq_1678,0.245,-0.454,-0.2,-0.361,0.018
Seq_1679,0.027,-0.195,-0.258,-0.442,-0.014
Seq_1680,0.198,-0.502,-0.205,-0.373,0.092
Seq_1681,0.148,-0.077,-0.078,-0.403,0.006
Seq_1682,-0.112,-0.407,-0.253,-0.321,0.212
Seq_1683,-0.099,-0.317,-0.186,-0.244,0.04
Seq_1684,0.033,-0.653,-0.636,-0.647,0.131
Seq_1685,0.572,-0.889,-0.16,-0.488,-0.102
Seq_1686,-0.302,-0.381,-0.31,-0.359,0.134
Seq_1687,0.204,-0.45,-0.319,-0.443,0.096
Seq_1688,-0.153,-0.28,-0.31,-0.433,0.105
Seq_1689,0.053,-0.405,-0.015,-0.304,0.073
Seq_1690,0.103,-0.171,-0.289,-0.422,0.077
Seq_1691,-0.276,-0.371,-0.334,-0.354,0.117
Seq_1692,-0.253,-0.358,-0.356,-0.342,0.101
Seq_1693,0.522,-0.372,-0.219,-0.351,0.029
Seq_1694,-0.058,-0.418,-0.543,-0.457,0.151
Seq_1695,0.128,-0.524,-0.24,-0.295,0.142
Seq_1696,0.204,-0.276,-0.081,-0.326,0.051
Seq_1697,0.09,-0.748,-0.256,-0.327,0.149
Seq_1698,0.151,-0.442,-0.309,-0.29,0.134
Seq_1699,0.186,-0.886,-0.27,-0.453,0.188
Seq_1700,-0.764,-0.517,-0.037,-0.136,0.037
Seq_1701,0.004,-0.75,-0.223,-0.408,0.129
Seq_1702,0.036,-0.531,-0.31,-0.185,0.234
Seq_1703,0.116,-0.658,-0.281,-0.432,0.106
Seq_1704,0.215,-0.289,-0.07,-0.338,0.035
Seq_1705,0.247,-0.596,-0.193,-0.509,0.16
Seq_1706,-0.082,-0.742,-0.352,-0.382,0.295
Seq_1707,0.337,-0.417,-0.193,-0.284,0.086
Seq_1708,0.297,-0.27,-0.132,-0.541,0.136
Seq_1709,0.243,-0.464,-0.19,-0.473,-0.091
Seq_1710,0.17,-0.467,-0.333,-0.291,0.323
Seq_1711,0.279,-0.486,-0.358,-0.426,0.22
Seq_1712,0.073,-0.99,-0.24,-0.49,0.21
Seq_1713,0.167,-0.456,-0.399,-0.377,0.043
Seq_1714,-0.019,-0.689,-0.105,-0.508,0.045
Seq_1715,-0.028,-0.213,0.136,-0.266,-0.074
Seq_1716,0.342,-0.523,-0.194,-0.248,0.102
Seq_1717,0.146,-0.322,-0.481,-0.359,0.123
Seq_1718,0.097,-0.39,-0.365,-0.407,0.118
Seq_1719,-0.267,-0.536,-0.318,-0.424,0.118
Seq_1720,0.269,-0.528,-0.427,-0.623,0.146
Seq_1721,0.028,-0.61,-0.406,-0.429,0.26
Seq_1722,0.261,-0.728,-0.099,-0.505,0.176
Seq_1723,0.197,-0.502,-0.184,-0.433,0.031
Seq_1724,-0.079,-0.337,-0.36,-0.31,0.254
Seq_1725,0.157,-1.024,-0.176,-0.371,0.327
Seq_1726,0.147,-0.73,-0.238,-0.457,0.138
Seq_1727,0.085,-0.522,-0.296,-0.343,0.216
Seq_1728,0.408,-0.661,-0.204,-0.471,0.18
Seq_1729,-0.129,-0.361,-0.298,-0.307,0.183
Seq_1730,0.138,-0.145,-0.269,-0.52,-0.014
Seq_1731,-1.211,-0.924,-0.609,-0.511,0.348
Seq_1732,0.143,-0.169,-0.288,-0.189,-0.066
Seq_1733,0.244,-0.231,-0.262,-0.445,0.101
Seq_1734,0.178,-0.752,-0.418,-0.543,0.248
Seq_1735,0.038,-0.552,-0.22,-0.423,0.31
Seq_1736,-0.014,-0.702,-0.367,-0.41,0.23
Seq_1737,-0.062,-0.521,-0.232,-0.35,0.104
Seq_1738,0.175,-0.582,-0.308,-0.376,0.168
Seq_1739,-0.033,-0.488,-0.279,-0.299,0.243
Seq_1740,0.12,-0.282,-0.214,-0.196,0.216
Seq_1741,-0.094,-0.522,-0.442,-0.424,0.13
Seq_1742,0.276,-0.325,-0.397,-0.385,0.251
Seq_1743,-0.016,-0.647,-0.2,-0.472,0.134
Seq_1744,0.282,-0.888,-0.337,-0.666,0.182
Seq_1745,-0.035,-0.891,-0.404,-0.435,0.265
Seq_1746,0.391,-0.427,-0.638,-0.529,0.187
Seq_1747,0.182,-0.594,-0.328,-0.496,0.242
Seq_1748,0.551,-0.376,0.393,-0.672,-0.04
Seq_1749,0.234,-0.301,-0.226,-0.403,0.056
Seq_1750,0.371,-0.863,0.099,-0.439,0.153
Seq_1751,0.153,-0.621,-0.342,-0.376,0.205
Seq_1752,0.325,-0.601,-0.023,-0.363,0.01
Seq_1753,0.085,-0.16,-0.136,-0.244,0.057
Seq_1754,0.182,-0.226,-0.235,-0.453,0.206
Seq_1755,0.346,-0.205,-0.165,-0.43,-0.132
Seq_1756,0.488,-0.304,-0.399,-0.743,0.251
Seq_1757,-0.055,-0.927,-0.195,-0.389,0.297
Seq_1758,0.741,-0.999,-0.184,-0.45,0.077
Seq_1759,0.448,-0.226,-0.447,-0.54,0.025
Seq_1760,0.114,-0.292,-0.048,-0.347,0.087
Seq_1761,-0.861,-0.562,-0.113,-0.119,0.033
Seq_1762,0.096,-0.885,-0.108,-0.292,0.18
Seq_1763,0.02,-0.305,-0.197,-0.324,0.082
Seq_1764,0.295,-0.656,0.155,-0.329,-0.274
Seq_1765,0.114,-0.133,-0.416,-0.297,-0.019
Seq_1766,0.032,-0.424,-0.194,-0.412,0.096
Seq_1767,0.17,-0.549,-0.287,-0.374,0.112
Seq_1768,0.191,-0.791,-0.277,-0.585,0.03
Seq_1769,-0.014,-0.218,-0.092,-0.3,0.198
Seq_1770,0.182,-0.387,-0.069,-0.362,0.054
Seq_1771,0.399,-0.381,0.162,-0.362,0.229
Seq_1772,0.402,-0.48,-0.42,-0.503,0.151
Seq_1773,0.345,-0.482,-0.415,-0.505,0.152
Seq_1774,-0.074,-0.437,-0.356,-0.398,0.22
Seq_1775,0.212,-0.705,-0.313,-0.642,0.187
Seq_1776,-0.046,-0.469,-0.282,-0.336,0.175
Seq_1777,0.297,-0.273,0.03,-0.098,-0.192
Seq_1778,0.118,-0.365,-0.303,-0.434,0.115
Seq_1779,0.219,-0.453,-0.364,-0.377,0.189
Seq_1780,0.161,-1.093,-0.053,-0.439,0.369
Seq_1781,0.172,-0.321,-0.189,-0.348,0.001
Seq_1782,0.062,-0.498,-0.301,-0.36,0.017
Seq_1783,0.223,-0.545,0.193,-0.365,-0.072
Seq_1784,0.331,-0.476,-0.121,-0.261,0.17
Seq_1785,0.565,-0.256,-0.441,-0.438,0.163
Seq_1786,-0.053,-0.411,-0.27,-0.234,0.178
Seq_1787,-0.086,-0.595,0.036,-0.533,0.139
Seq_1788,0.062,-0.327,-0.381,-0.463,0.136
Seq_1789,0.067,-0.577,-0.25,-0.374,0.027
Seq_1790,0.481,-0.056,-0.141,-0.445,-0.129
Seq_1791,0.306,-0.72,-0.156,-0.199,0.245
Seq_1792,0.054,-0.428,-0.34,-0.587,0.061
Seq_1793,0.239,-0.441,-0.343,-0.578,0.107
Seq_1794,0.096,-0.479,-0.042,-0.243,0.117
Seq_1795,0.032,-0.48,-0.261,-0.434,0.116
Seq_1796,0.066,-0.395,-0.365,-0.274,0.062
Seq_1797,0.386,-0.143,-0.345,-0.298,0.001
Seq_1798,-0.213,-0.978,-0.24,-0.447,0.181
Seq_1799,0.426,-0.317,-0.292,-0.359,0.063
Seq_1800,0.089,-0.14,-0.156,-0.369,0.112
Seq_1801,0.24,-0.772,-0.34,-0.537,0.211
Seq_1802,0.247,-0.527,-0.087,-0.128,-0.085
Seq_1803,-0.344,-0.297,-0.191,-0.395,-0.027
Seq_1804,0.28,-0.522,-0.341,-0.371,0.16
Seq_1805,0.305,-0.756,-0.117,-0.303,-0.056
Seq_1806,0.157,-0.863,-0.299,-0.572,0.155
Seq_1807,0.104,-0.4,-0.409,-0.351,0.111
Seq_1808,0.106,-0.39,-0.137,-0.439,0.016
Seq_1809,0.546,-0.202,-0.289,-0.522,0.015
Seq_1810,0.298,-0.715,-0.227,-0.369,0.111
Seq_1811,0.056,-0.414,-0.332,-0.293,0.036
Seq_1812,0.07,-0.401,-0.343,-0.288,0.027
Seq_1813,0.657,-0.229,-0.32,-0.588,0.011
Seq_1814,-0.096,-0.106,-0.225,-0.382,-0.064
Seq_1815,0.472,-0.579,0.275,-0.452,-0.106
Seq_1816,-0.14,-0.454,-0.153,-0.27,0.133
Seq_1817,-0.103,-0.92,-0.294,-0.427,0.318
Seq_1818,0.067,-0.42,-0.141,-0.398,0.026
Seq_1819,0.296,-0.659,-0.176,-0.44,0.088
Seq_1820,-0.033,-0.397,-0.131,-0.427,0.134
Seq_1821,0.245,-0.647,-0.356,-0.533,0.149
Seq_1822,0.133,-0.494,-0.039,-0.272,0.108
Seq_1823,0.293,-0.164,-0.134,-0.492,0.039
Seq_1824,0.1,-0.451,-0.092,-0.264,0.048
Seq_1825,0.159,-0.54,-0.239,-0.32,0.149
Seq_1826,-0.824,-0.634,-0.314,-0.238,0.017
Seq_1827,0.058,-0.713,-0.355,-0.45,0.18
Seq_1828,0.494,-0.34,-0.31,-0.301,0.067
Seq_1829,0.099,-0.424,-0.272,-0.291,0.104
Seq_1830,0.086,-0.425,-0.284,-0.321,0.133
Seq_1831,-0.169,-0.42,-0.2,-0.552,0.105
Seq_1832,-0.083,-0.582,-0.076,-0.407,0.251
Seq_1833,0.26,-0.818,0.091,-0.391,0.382
Seq_1834,0.706,-0.239,-0.338,-0.374,0.161
Seq_1835,0.162,-0.284,-0.234,-0.322,0.013
Seq_1836,0.115,-0.276,-0.219,-0.337,0.004
Seq_1837,0.279,-0.344,-0.125,-0.448,0.035
Seq_1838,0.127,-0.633,-0.287,-0.459,0.181
Seq_1839,-0.153,-0.843,-0.249,-0.594,0.246
Seq_1840,0.054,-0.36,-0.117,-0.361,0.064
Seq_1841,-0.017,-0.699,-0.344,-0.424,0.093
Seq_1842,0.31,-0.361,-0.288,-0.408,0.148
Seq_1843,0.171,-0.377,-0.716,-0.108,0.222
Seq_1844,0.158,-0.545,-0.234,-0.442,0.054
Seq_1845,0.156,-0.557,-0.233,-0.436,0.053
Seq_1846,-0.092,-0.927,-0.134,-0.277,0.093
Seq_1847,0.226,-0.486,-0.337,-0.313,0.141
Seq_1848,0.134,-0.101,-0.133,-0.119,0.171
Seq_1849,0.113,-0.582,-0.105,-0.496,0.365
Seq_1850,0.154,-0.332,-0.17,-0.363,0.119
Seq_1851,0.395,-0.291,-0.143,-0.504,0.12
Seq_1852,0.186,-0.412,-0.324,-0.395,0.091
Seq_1853,0.604,-0.2,-0.429,-0.369,0.153
Seq_1854,0.073,-0.479,-0.023,-0.432,0.087
Seq_1855,-0.171,-0.508,-0.215,-0.378,0.172
Seq_1856,0.221,-0.391,-0.104,-0.363,0.091
Seq_1857,0.101,-0.526,-0.319,-0.256,0.231
Seq_1858,0.224,-0.776,-0.292,-0.43,0.162
Seq_1859,0.222,-0.567,-0.312,-0.494,0.026
Seq_1860,0.215,-0.518,-0.202,-0.43,0.269
Seq_1861,0.128,-0.631,-0.155,-0.53,0.105
Seq_1862,0.088,-0.547,-0.331,-0.318,0.245
Seq_1863,0.237,-0.788,-0.304,-0.39,0.15
Seq_1864,0.235,-0.935,-0.169,-0.455,0.121
Seq_1865,0.213,-0.543,-0.256,-0.366,0.174
Seq_1866,-0.33,-0.21,-0.435,-0.136,0.267
Seq_1867,0.262,-0.609,-0.263,-0.31,0.306
Seq_1868,0.074,-0.683,-0.304,-0.509,0.2
Seq_1869,-0.014,-0.416,-0.119,-0.382,0.089
Seq_1870,0.422,-0.811,0.116,-0.464,0.201
Seq_1871,0.132,-0.499,-0.165,-0.36,0.12
Seq_1872,0.232,-0.867,0.125,-0.336,0.402
Seq_1873,0.109,-0.294,-0.186,-0.268,0.044
Seq_1874,0.31,-0.513,-0.237,-0.436,0.169
Seq_1875,0.221,-0.571,-0.291,-0.367,0.148
Seq_1876,0.102,-0.603,-0.246,-0.38,0.1
Seq_1877,-0.102,-0.551,-0.188,-0.409,0.091
Seq_1878,0.136,-0.534,-0.279,-0.54,0.122
Seq_1879,0.119,-0.755,-0.242,-0.357,0.241
Seq_1880,0.217,-0.687,-0.363,-0.561,0.071
Seq_1881,-0.077,-0.706,-0.46,-0.559,0.112
Seq_1882,0.179,-0.567,-0.128,-0.456,0.123
Seq_1883,0.718,-0.535,-0.021,-0.41,0.06
Seq_1884,0.351,-0.459,-0.187,-0.249,0.216
Seq_1885,0.298,-0.327,-0.416,-0.441,0.218
Seq_1886,0.061,-0.549,-0.052,-0.301,0.323
Seq_1887,0.452,-0.367,-0.133,-0.394,0.188
Seq_1888,0.251,-0.349,-0.419,-0.393,0.228
Seq_1889,0.065,-0.523,-0.148,-0.409,0.121
Seq_1890,-0.012,-0.317,-0.309,-0.46,0.096
Seq_1891,-0.02,-0.317,-0.311,-0.456,0.099
Seq_1892,-0.013,-0.316,-0.309,-0.459,0.097
Seq_1893,0.116,-0.262,-0.255,-0.534,0.118
Seq_1894,0.119,-0.739,-0.139,-0.36,0.095
Seq_1895,0.088,-0.559,-0.063,-0.397,0.069
Seq_1896,0.593,-0.495,-0.177,-0.49,0.122
Seq_1897,0.088,-0.312,-0.212,-0.411,0.054
Seq_1898,0.222,-0.824,-0.493,-0.564,0.232
Seq_1899,-0.057,-0.738,-0.381,-0.536,0.208
Seq_1900,0.602,-0.255,-0.577,-0.583,0.167
Seq_1901,0.137,-0.77,-0.296,-0.369,0.272
Seq_1902,0.518,-0.333,-0.266,-0.528,0.137
Seq_1903,0.16,-0.396,-0.462,-0.235,0.214
Seq_1904,0.688,-0.458,-0.803,-0.106,0.082
Seq_1905,0.414,-0.269,-0.171,-0.467,0.097
Seq_1906,0.15,-0.574,-0.146,-0.362,0.187
Seq_1907,0.614,-0.631,-0.254,-0.526,0.242
Seq_1908,0.326,-0.529,-0.204,-0.575,0.016
Seq_1909,-0.125,-0.629,-0.171,-0.327,0.229
Seq_1910,0.161,-0.381,-0.292,-0.409,0.081
Seq_1911,0.437,-0.269,-0.177,-0.443,0.003
Seq_1912,0.397,-0.316,-0.272,-0.356,0.113
Seq_1913,0.235,0.048,-0.277,-0.458,-0.057
Seq_1914,0.391,-0.665,-0.181,-0.491,0.32
Seq_1915,0.245,-0.529,-0.439,-0.627,0.164
Seq_1916,-0.119,-0.537,-0.446,-0.445,0.101
Seq_1917,0.008,-0.542,-0.224,-0.562,0.106
Seq_1918,-0.022,-0.789,-0.129,-0.38,0.098
Seq_1919,0.514,-0.261,-0.35,-0.531,0.1
Seq_1920,-0.104,-0.311,-0.192,-0.162,0.265
Seq_1921,-0.033,-0.607,-0.17,-0.45,0.213
Seq_1922,0.218,-1.278,-0.003,-0.343,0.215
Seq_1923,0.218,-0.797,0.021,-0.358,0.046
Seq_1924,0.099,-0.587,-0.243,-0.442,0.18
Seq_1925,-0.053,-0.76,-0.276,-0.41,0.273
Seq_1926,-0.016,-0.469,-0.19,-0.386,0.207
Seq_1927,0.195,-0.74,-0.244,-0.368,0.264
Seq_1928,0.096,-0.634,-0.24,-0.284,0.238
Seq_1929,0.124,-0.719,-0.218,-0.501,0.099
Seq_1930,0.142,-0.375,-0.455,-0.404,0.195
Seq_1931,0.464,-0.665,-0.509,-0.671,0.287
Seq_1932,-0.024,-0.661,-0.175,-0.45,0.058
Seq_1933,-0.027,-0.627,0.03,-0.445,0.225
Seq_1934,0.191,-0.889,-0.291,-0.563,0.135
Seq_1935,0.432,-0.852,-0.363,-0.389,0.224
Seq_1936,0.044,-0.244,-0.289,-0.413,-0.015
Seq_1937,0.044,-0.239,-0.302,-0.39,-0.03
Seq_1938,0.006,-1.193,0.069,-0.382,0.005
Seq_1939,0.055,-0.322,-0.454,-0.605,0.165
Seq_1940,-0.102,-0.289,-0.267,-0.327,0.066
Seq_1941,0.046,-0.664,-0.236,-0.466,0.162
Seq_1942,0.208,-0.686,-0.465,-0.595,0.176
Seq_1943,0.183,-0.487,-0.596,-0.496,0.18
Seq_1944,0.251,-0.243,-0.387,-0.486,-0.008
Seq_1945,0.501,-0.491,0.229,-0.722,-0.002
Seq_1946,-0.004,-0.535,-0.299,-0.434,0.195
Seq_1947,-0.186,-0.326,-0.267,-0.317,0.246
Seq_1948,0.004,-0.26,-0.162,-0.407,-0.004
Seq_1949,0.189,-0.519,-0.278,-0.411,0.188
Seq_1950,0.308,-0.506,-0.457,-0.291,0.211
Seq_1951,0.025,-0.497,-0.112,-0.415,0.107
Seq_1952,0.105,-0.625,-0.574,-0.297,0.192
Seq_1953,0.441,-0.541,-0.087,-0.246,0.083
Seq_1954,-0.334,-0.593,-0.058,-0.185,0.1
Seq_1955,0.021,-0.603,-0.192,-0.278,0.243
Seq_1956,0.137,-0.38,-0.335,-0.322,0.176
Seq_1957,0.239,-0.554,0.119,-0.229,-0.042
Seq_1958,-0.972,-0.726,-0.397,-0.287,0.061
Seq_1959,0.065,-0.588,-0.223,-0.32,0.23
Seq_1960,0.007,-0.951,-0.243,-0.508,0.199
Seq_1961,0.305,-0.483,-0.139,-0.51,0.083
Seq_1962,0.207,-0.663,-0.157,-0.311,0.079
Seq_1963,-0.043,-0.575,-0.187,-0.227,0.125
Seq_1964,0.134,-0.205,-0.404,-0.269,0.181
Seq_1965,-0.163,-0.25,-0.238,-0.178,0.082
Seq_1966,-0.01,-0.742,-0.247,-0.448,-0.012
Seq_1967,0.197,-0.717,-0.32,-0.56,0.139
Seq_1968,0.434,-0.441,-0.804,-0.156,0.279
Seq_1969,-0.012,-0.496,-0.21,-0.462,0.142
Seq_1970,0.074,-0.366,-0.05,-0.417,0.083
Seq_1971,0.056,-0.828,-0.241,-0.439,0.246
