ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
Seq_2309,20.25,106.30,92.71,19.75,46.23,44.38,84.09,25.03,18.37,20.94,65.54,62.43,24.21,27.09,20.31,44.23,31.35,26.45,110.42,46.98
Seq_2310,57.57,85.29,24.22,19.10,33.15,24.36,88.51,42.08,23.74,20.61,60.57,34.24,57.53,118.69,26.20,25.87,32.23,17.65,96.47,40.54
Seq_2311,22.70,183.50,28.64,20.45,45.31,16.34,51.42,20.42,17.62,21.28,38.65,66.59,38.51,73.77,34.72,36.88,31.38,17.75,114.90,46.03
Seq_2312,28.57,95.53,28.12,33.77,65.43,50.13,54.35,48.67,23.54,27.24,101.93,28.72,40.49,36.62,61.88,23.83,23.37,46.12,122.63,33.34
Seq_2313,26.73,143.13,55.76,22.65,81.78,24.72,56.70,27.30,32.27,25.81,68.49,33.17,27.53,23.32,31.63,36.67,26.15,43.53,72.05,113.42
Seq_2314,42.12,104.01,25.21,63.90,33.25,27.66,55.85,59.83,56.14,17.07,84.46,70.84,21.24,55.05,26.12,16.50,48.13,31.26,94.41,183.23
Seq_2315,37.83,92.78,32.95,18.33,33.36,39.19,132.33,32.43,40.17,13.44,54.32,37.66,38.65,32.90,29.55,33.07,29.80,51.97,83.93,31.14
Seq_2316,28.90,196.48,27.08,32.47,22.88,40.53,75.24,37.55,28.58,11.68,87.13,33.52,75.48,37.28,41.39,18.58,22.73,36.64,156.85,66.71
Seq_2317,97.62,102.08,24.86,31.37,26.22,36.42,50.87,28.14,14.54,19.40,105.78,16.41,50.94,49.25,45.14,19.71,44.22,28.27,80.68,26.89
Seq_2318,11.84,83.87,57.36,18.90,52.84,15.07,108.93,39.38,61.30,28.84,88.22,60.50,42.51,83.24,22.08,44.89,20.27,11.77,91.79,58.96
Seq_2319,7.66,117.27,32.49,25.62,55.44,19.68,116.36,29.06,102.83,18.11,144.15,28.30,64.72,26.56,22.76,25.02,24.58,26.38,48.60,70.06
Seq_2320,42.38,50.74,29.84,32.04,48.80,29.78,41.82,54.40,43.07,11.80,44.32,47.63,44.57,34.51,35.37,20.90,31.26,22.59,66.81,43.50
Seq_2321,26.34,168.34,37.22,16.22,53.15,19.34,63.53,20.42,55.21,19.15,75.12,44.92,32.91,63.20,22.27,33.62,38.05,21.23,120.07,44.42
Seq_2322,27.22,173.34,57.51,36.37,29.85,13.42,72.96,32.28,54.23,15.86,108.94,56.41,31.97,139.29,54.19,35.73,33.18,24.27,36.55,49.33
Seq_2323,42.61,52.43,19.83,25.77,30.17,67.74,56.02,27.08,22.16,14.71,71.40,31.46,65.99,43.55,53.53,25.07,44.66,29.80,236.96,33.70
Seq_2324,21.77,310.42,22.07,21.55,58.57,23.26,76.75,49.61,20.91,22.03,74.44,67.29,30.63,56.41,49.68,34.06,38.89,26.20,175.55,51.11
Seq_2325,17.50,0.00,22.96,51.93,35.00,15.45,103.83,29.86,83.77,29.62,176.05,21.76,144.46,31.80,50.07,18.38,26.16,37.31,65.09,45.21
Seq_2326,21.93,121.90,38.45,40.39,53.53,28.29,87.73,34.96,48.68,26.40,69.32,42.69,38.18,56.19,39.79,32.58,28.49,27.61,209.71,52.60
Seq_2327,42.66,436.30,18.75,15.97,35.30,53.01,59.94,21.89,12.26,23.63,90.88,13.18,77.53,46.25,44.51,35.21,62.33,40.96,334.52,43.94
Seq_2328,18.28,140.01,49.21,74.74,76.44,19.46,334.57,74.72,95.03,25.94,184.73,27.94,59.62,50.14,54.07,19.12,17.28,25.70,72.96,46.57
Seq_2329,29.08,174.45,35.44,27.44,35.86,21.97,159.97,27.81,19.35,21.82,55.60,25.13,32.82,47.53,50.00,38.22,17.35,36.20,88.88,34.73
Seq_2330,22.69,3261.01,20.65,27.01,66.41,26.29,90.75,50.56,21.17,57.57,295.08,36.25,44.75,33.97,102.48,40.13,16.19,28.77,183.98,34.21
Seq_2331,30.08,71.34,21.62,21.12,38.10,15.93,45.70,49.94,35.54,21.28,79.83,37.77,34.12,99.51,37.74,33.49,22.94,19.77,115.27,23.04
Seq_2332,28.71,96.50,16.39,15.20,58.98,39.15,45.92,18.53,24.44,8.45,62.33,27.84,39.61,31.71,21.44,22.08,41.74,25.61,128.23,46.69
Seq_2333,32.12,112.94,23.38,33.07,50.32,38.49,76.22,25.31,48.29,20.32,93.38,84.93,30.75,86.99,32.90,25.79,40.39,23.84,289.28,46.08
Seq_2334,22.94,0.00,23.86,20.76,43.62,18.27,63.70,19.14,36.83,18.88,61.29,52.45,26.90,90.00,13.69,51.97,47.96,20.18,144.44,22.50
Seq_2335,17.92,119.88,32.65,17.77,49.52,29.44,57.56,44.02,92.89,14.41,177.00,55.50,41.08,41.56,19.03,50.06,52.38,22.05,96.34,81.57
Seq_2336,17.64,388.57,33.83,47.82,33.14,18.36,165.55,38.83,62.28,25.39,151.55,45.36,40.98,39.59,56.55,16.20,24.64,36.02,67.64,38.70
Seq_2337,18.59,0.00,23.36,39.44,34.76,36.52,76.21,55.23,111.94,25.21,95.84,43.42,21.97,34.66,22.97,30.60,31.55,24.26,85.46,43.72
Seq_2338,21.89,60.60,29.17,34.78,54.27,20.57,116.25,23.61,31.56,25.19,61.24,35.98,41.76,32.84,47.49,22.60,48.60,19.96,151.80,155.06
Seq_2339,34.48,341.64,29.10,35.39,41.87,43.55,85.60,41.36,48.57,16.90,113.27,25.30,47.74,39.05,41.63,21.93,24.79,26.28,76.63,39.65
Seq_2340,12.51,0.00,73.64,26.39,51.20,13.31,56.99,22.42,23.29,24.93,38.00,25.08,34.86,48.17,17.63,33.33,25.78,12.13,0.00,59.34
Seq_2341,23.27,88.03,31.36,16.45,41.35,19.34,77.41,60.50,46.01,13.38,61.82,35.41,46.71,30.87,18.67,43.45,31.88,22.28,87.50,44.30
Seq_2342,28.66,127.55,33.59,20.01,41.24,42.05,79.37,22.93,43.62,20.75,78.08,30.14,64.38,44.35,27.73,22.87,44.07,30.63,70.85,34.35
Seq_2343,17.86,0.00,25.61,40.57,55.38,26.86,46.69,37.06,46.45,21.60,270.00,24.52,32.14,57.09,46.98,13.83,17.24,21.42,72.07,37.94
Seq_2344,19.72,105.98,24.29,17.33,42.78,18.88,42.87,25.78,26.07,20.70,75.29,25.78,50.40,42.21,53.84,47.84,34.32,21.92,139.52,32.81
Seq_2345,26.66,50.44,24.87,31.25,47.55,23.63,52.10,27.31,26.41,24.08,51.99,59.97,83.78,87.07,38.79,31.46,26.30,21.30,59.12,22.06
Seq_2346,24.75,687.59,342.91,323.70,479.07,348.69,448.00,193.03,324.53,329.47,52.18,324.61,211.52,362.21,533.59,8.83,9.40,326.37,536.83,408.40
Seq_2347,19.55,349.01,33.56,28.66,57.36,31.24,198.82,18.53,19.77,21.42,86.52,22.85,136.04,36.53,80.23,30.04,51.12,36.14,353.92,114.63
Seq_2348,18.73,116.97,28.50,30.96,81.58,24.70,69.35,61.31,107.20,25.73,143.26,67.65,37.80,36.54,32.30,22.74,28.46,36.78,182.51,134.49
Seq_2349,43.91,156.24,24.61,32.71,23.12,26.01,108.45,22.78,19.70,20.12,119.88,20.92,43.04,49.96,118.26,38.35,18.61,21.65,107.15,32.78
Seq_2350,43.81,115.53,29.02,18.58,58.27,57.86,137.16,28.74,20.29,22.83,96.99,28.53,76.80,18.32,93.07,24.04,45.82,28.23,195.42,32.64
Seq_2351,54.50,89.57,17.21,13.43,32.74,37.80,32.58,17.03,13.77,22.08,73.16,36.36,52.59,24.09,32.94,46.44,33.24,22.76,40.28,27.06
Seq_2352,20.81,220.61,38.71,19.17,58.02,18.23,89.05,20.49,23.11,20.50,87.65,41.43,37.59,83.06,110.81,32.78,94.66,25.46,74.78,51.67
Seq_2353,19.75,0.00,13.15,21.47,70.29,36.50,72.44,28.72,18.43,18.67,59.21,18.49,45.27,41.33,59.05,23.71,16.84,22.57,38.64,22.77
Seq_2354,18.78,125.57,24.79,32.43,36.47,17.12,138.67,34.08,14.19,23.93,52.68,35.56,40.22,112.20,62.75,27.79,68.90,18.32,239.77,93.27
Seq_2355,31.49,217.65,46.92,29.93,153.13,77.59,109.12,107.63,51.46,55.13,85.74,52.18,64.10,44.62,69.70,20.73,63.16,70.87,111.76,105.16
Seq_2356,17.39,147.85,18.87,30.86,80.67,28.07,82.69,32.13,66.88,15.93,56.68,57.30,30.11,27.91,21.62,45.20,48.64,27.52,98.33,59.32
Seq_2357,18.62,145.48,22.29,22.37,46.57,21.47,66.70,46.56,28.49,12.37,86.34,30.69,24.31,66.77,72.66,28.32,33.12,19.38,57.78,39.96
Seq_2358,26.20,84.89,24.45,41.84,41.21,16.41,96.91,12.58,31.60,16.29,45.95,34.18,45.83,34.40,31.38,12.61,55.27,60.91,0.00,59.51
Seq_2359,21.18,0.00,29.16,37.20,32.13,29.44,57.23,27.61,19.16,23.74,28.72,28.01,36.09,55.46,63.03,23.28,35.17,29.73,60.69,36.56
Seq_2360,41.42,84.80,25.85,23.96,32.68,32.66,78.88,27.00,20.62,19.23,93.44,38.46,50.49,37.92,28.64,32.78,61.80,27.95,172.32,39.37
Seq_2361,61.93,38.37,24.37,18.27,67.84,45.54,100.75,32.38,42.77,43.38,215.65,39.67,29.98,32.77,65.29,19.79,46.91,24.53,150.23,98.73
Seq_2362,19.21,45.37,50.76,23.99,25.90,21.03,66.89,16.04,30.12,25.01,37.03,36.12,17.77,27.58,42.33,25.48,39.09,20.41,89.19,35.36
Seq_2363,17.07,67.23,74.43,48.87,67.81,35.95,68.55,53.17,31.61,40.65,183.96,40.37,33.38,35.31,68.89,23.45,31.55,36.31,253.58,117.46
Seq_2364,24.42,141.14,27.22,41.78,48.82,20.75,66.05,47.63,43.07,40.37,97.28,26.41,27.38,33.30,48.81,24.73,19.13,29.72,67.81,46.09
Seq_2365,15.57,311.93,26.86,30.17,84.92,11.74,123.19,51.98,34.25,25.35,92.67,80.15,21.97,58.60,28.30,25.26,26.85,32.34,115.51,102.47
Seq_2366,23.37,122.65,19.14,38.58,45.81,20.45,100.97,23.47,31.54,32.64,71.37,34.53,30.80,68.02,28.86,38.59,39.64,19.88,372.25,58.72
Seq_2367,45.90,0.00,72.39,16.98,36.89,13.73,121.00,24.44,31.00,15.25,245.83,54.53,22.82,56.74,26.41,27.21,46.38,18.99,225.73,46.83
Seq_2368,32.27,130.95,15.99,43.88,17.56,16.28,107.33,22.75,36.17,32.27,63.46,43.62,97.11,21.67,19.42,24.29,36.87,30.61,48.11,52.42
Seq_2369,23.96,367.84,30.27,35.68,76.12,32.28,100.75,31.61,25.32,20.11,54.03,23.77,41.51,38.97,106.48,30.57,35.62,23.13,190.84,33.85
Seq_2370,21.44,90.58,33.61,15.35,35.51,22.58,20.58,30.10,10.92,11.37,58.03,95.48,31.67,37.47,82.39,29.66,41.02,29.89,126.84,81.19
Seq_2371,19.64,216.18,39.22,21.23,32.95,20.40,67.33,37.04,15.08,20.61,27.04,44.16,50.97,52.62,33.81,25.78,30.84,30.81,0.00,30.63
Seq_2372,30.43,132.39,26.08,31.18,88.93,45.45,51.51,34.33,31.33,24.98,49.61,39.90,28.53,32.21,20.40,18.59,38.58,32.66,120.20,60.13
Seq_2373,30.58,296.08,26.46,15.13,41.78,57.11,81.82,24.03,18.59,13.43,129.67,56.14,37.60,51.17,32.91,33.75,64.63,34.41,322.27,49.37
Seq_2374,40.59,130.44,39.53,21.70,26.66,14.10,75.67,21.10,26.53,28.80,103.95,49.12,24.12,146.59,50.85,55.71,29.65,19.47,42.34,40.18
Seq_2375,16.80,0.00,21.64,18.64,42.01,42.25,30.24,13.20,17.35,14.41,74.72,48.48,26.99,24.28,10.68,48.32,15.09,14.42,0.00,53.79
Seq_2376,33.76,90.59,16.59,24.31,53.08,24.05,78.23,18.98,22.08,17.16,58.62,44.43,69.28,39.83,62.57,26.23,44.41,31.52,271.70,181.92
Seq_2377,10.43,77.50,43.52,20.09,29.16,30.52,98.15,39.18,71.44,13.15,123.33,57.17,42.61,33.30,19.70,22.33,43.00,27.41,84.35,226.52
Seq_2378,35.20,354.35,26.42,18.95,87.83,67.43,78.27,20.77,16.61,14.49,81.13,27.50,49.13,39.94,37.41,34.29,36.60,31.40,140.87,34.55
Seq_2379,19.28,87.27,53.89,97.48,14.58,54.16,0.00,16.18,27.99,11.27,51.06,41.17,37.55,71.09,105.62,17.90,20.60,25.91,30.90,24.65
Seq_2380,38.42,0.00,17.79,33.83,32.82,47.40,169.23,19.26,15.23,24.09,88.35,51.21,22.98,112.14,39.20,18.75,37.10,15.76,84.63,27.68
Seq_2381,46.27,112.80,30.56,25.31,49.81,34.96,61.82,56.89,30.29,29.81,143.77,55.37,37.69,39.08,30.54,31.97,28.58,26.92,56.40,54.01
Seq_2382,31.83,0.00,20.47,32.21,31.25,27.10,30.37,18.60,16.54,14.69,126.22,31.93,58.61,45.18,26.06,23.56,38.42,18.26,72.99,19.80
Seq_2383,27.62,87.80,35.23,20.00,44.31,37.70,76.57,59.48,28.91,17.70,123.44,63.85,46.73,30.07,21.72,30.18,48.50,32.60,218.87,53.31
Seq_2384,25.82,163.78,24.65,29.46,44.47,24.64,91.20,37.65,80.65,20.14,170.04,57.74,27.48,28.64,29.52,24.19,26.88,36.47,60.59,47.23
Seq_2385,18.82,42.41,19.79,7.68,40.74,33.66,61.80,55.16,26.28,10.20,22.10,45.36,36.72,55.01,34.61,20.02,26.87,29.82,102.07,97.85
Seq_2386,26.04,80.74,27.82,20.01,35.37,30.06,65.88,24.69,22.74,21.47,46.44,38.62,55.14,41.43,40.24,24.32,25.93,24.39,0.00,55.09
Seq_2387,23.13,0.00,15.20,30.39,70.60,16.02,101.65,28.48,124.09,35.83,228.04,28.42,170.60,82.76,195.77,21.55,18.17,16.02,254.42,72.94
Seq_2388,9.48,0.00,18.28,34.67,45.03,18.81,104.45,32.22,20.16,23.27,127.24,41.94,38.53,46.87,48.50,25.10,26.98,19.41,71.36,57.05
Seq_2389,33.33,699.80,24.19,28.55,43.86,33.13,139.67,33.24,18.26,26.34,110.45,23.49,67.47,82.48,64.56,22.90,26.27,27.98,107.66,33.41
Seq_2390,23.66,93.92,27.24,28.31,41.28,23.24,89.64,32.27,16.29,26.35,46.16,33.31,39.75,101.75,37.20,29.58,33.32,24.38,90.32,38.08
Seq_2391,40.21,201.01,30.31,22.17,41.88,41.39,75.65,25.62,31.08,15.86,104.78,31.96,47.19,49.80,62.12,22.42,38.11,26.02,129.08,57.81
Seq_2392,17.55,233.30,21.07,17.91,35.32,18.91,61.04,22.82,33.37,33.13,76.85,62.15,74.15,69.85,33.00,24.12,57.36,18.81,260.34,66.03
Seq_2393,12.73,0.00,32.61,38.23,74.13,36.99,197.35,31.05,41.22,21.23,128.20,24.55,93.66,18.62,36.10,35.55,31.67,42.83,329.62,35.45
Seq_2394,15.08,94.95,25.76,14.70,31.42,25.64,130.14,38.41,18.32,18.77,116.79,74.96,35.84,60.58,31.44,25.28,37.58,21.79,128.61,50.72
Seq_2395,15.56,181.34,20.78,47.12,71.23,13.40,96.30,15.77,31.04,41.91,37.02,61.72,23.77,71.24,69.31,33.62,21.32,18.88,174.90,86.39
Seq_2396,37.83,29.52,23.15,17.35,97.61,22.30,36.96,19.36,19.18,16.46,81.13,55.74,37.21,31.91,23.07,15.55,36.66,13.87,0.00,41.09
Seq_2397,21.55,143.47,20.49,26.27,30.13,35.98,68.35,17.01,20.20,30.29,60.80,22.02,44.28,0.00,86.00,19.35,25.23,21.92,152.67,39.71
Seq_2398,13.24,0.00,36.63,8.13,24.63,22.38,79.51,13.57,21.72,13.43,43.18,17.42,74.76,65.14,14.16,0.00,43.16,22.90,47.64,33.08
Seq_2399,46.98,77.19,21.41,19.25,21.87,43.07,78.70,22.64,17.22,15.84,103.28,24.28,103.37,49.34,52.79,65.26,46.22,58.21,92.49,122.56
Seq_2400,14.60,0.00,27.76,28.29,115.61,14.09,85.32,40.40,88.68,16.89,105.58,85.44,20.31,155.76,25.68,54.47,33.00,20.81,176.83,70.97
Seq_2401,15.54,63.89,20.37,30.26,39.62,23.06,54.28,40.63,36.95,14.81,94.71,65.21,32.62,21.07,37.95,32.09,33.83,26.63,44.23,49.99
Seq_2402,19.51,197.33,65.20,66.06,68.16,25.15,203.98,35.53,109.74,43.86,142.63,31.63,39.12,39.10,41.33,25.24,43.12,25.16,104.47,61.21
Seq_2403,15.96,214.37,58.00,14.12,104.30,14.73,65.40,70.88,49.99,9.74,112.54,0.00,24.03,74.14,16.77,70.68,38.26,11.44,0.00,117.02
Seq_2404,36.87,14.47,28.46,29.36,18.51,47.13,48.46,32.22,15.25,22.23,67.74,12.70,29.52,72.26,27.03,15.26,12.99,16.21,98.12,28.11
Seq_2405,19.75,79.90,27.78,25.01,122.06,19.82,32.69,22.95,39.09,12.45,82.59,28.25,49.27,42.53,32.25,24.22,52.23,23.31,48.45,55.71
Seq_2406,17.59,46.97,22.20,21.75,48.65,18.66,58.32,26.84,55.41,17.01,67.61,24.99,31.39,48.30,25.11,26.05,61.23,26.03,88.93,34.25
Seq_2407,28.34,0.00,31.79,18.32,18.66,18.71,28.97,38.81,93.53,28.45,75.28,20.94,27.96,28.23,21.53,15.75,16.58,9.41,0.00,23.35
Seq_2408,32.01,152.97,21.62,19.33,20.77,38.30,63.34,18.60,20.07,25.45,226.00,31.28,25.14,47.86,20.87,38.98,21.45,39.90,34.28,45.41
Seq_2409,27.72,133.22,15.67,23.69,40.13,16.31,48.05,32.21,24.10,31.66,67.06,23.72,52.74,63.33,61.83,27.64,21.96,41.49,36.87,22.92
Seq_2410,30.43,248.09,30.43,25.46,108.46,26.98,88.25,91.39,46.24,25.80,323.65,33.50,72.79,41.33,29.69,36.64,35.00,40.29,331.80,98.89
Seq_2411,29.59,546.54,23.66,26.65,39.32,27.43,109.04,33.77,34.90,31.54,119.53,32.34,40.53,51.92,35.95,40.39,28.22,23.94,273.12,45.04
Seq_2412,20.99,65.59,12.41,39.37,26.84,27.41,56.84,28.49,18.11,20.00,96.54,44.79,20.88,71.92,38.58,41.28,20.56,16.42,78.43,43.44
Seq_2413,20.86,0.00,24.61,20.03,41.61,22.23,56.60,25.08,23.15,13.30,60.66,58.74,43.70,36.51,79.68,25.33,35.16,22.86,256.93,54.15
Seq_2414,61.74,88.50,33.65,16.86,27.03,34.99,66.47,49.79,28.02,16.52,107.49,38.79,32.95,126.04,39.80,26.27,32.30,16.40,52.42,60.63
Seq_2415,25.29,239.08,32.66,34.30,36.91,40.09,331.71,26.40,86.64,26.00,73.55,20.83,53.06,46.13,41.62,23.38,20.89,27.49,252.97,72.07
Seq_2416,21.07,111.62,37.02,23.01,37.51,20.10,47.28,33.03,59.03,16.75,55.34,43.25,30.89,78.01,42.83,55.15,33.63,22.49,83.34,46.09
Seq_2417,45.90,114.19,27.82,24.79,24.49,39.82,37.17,23.88,24.77,26.19,82.18,21.19,73.19,63.11,41.34,23.93,36.48,22.48,92.68,38.54
Seq_2418,25.32,152.01,55.78,33.70,94.96,36.53,63.07,45.71,61.80,31.34,79.62,78.08,24.47,27.10,36.43,18.19,36.02,32.98,244.34,95.91
Seq_2419,49.38,120.20,31.88,29.16,29.38,25.35,77.22,17.62,28.84,14.26,146.46,30.38,34.43,49.86,58.89,31.36,54.86,28.17,99.29,33.42
Seq_2420,28.96,94.63,77.83,45.69,41.15,29.30,156.14,43.25,34.33,19.30,79.27,49.34,32.83,68.23,41.73,24.41,39.12,25.98,136.01,59.58
Seq_2421,32.70,136.63,31.14,17.64,68.85,15.96,52.89,76.89,37.43,33.61,65.86,115.80,24.52,32.93,18.67,48.72,27.53,53.83,199.71,94.56
Seq_2422,8.04,244.19,18.27,29.44,80.84,20.36,124.00,37.09,33.46,24.57,118.21,70.24,38.12,98.85,45.33,25.36,35.63,14.37,128.53,63.62
Seq_2423,13.58,68.37,23.58,77.05,51.48,17.01,50.66,36.77,92.00,71.02,86.96,18.19,23.04,59.39,53.56,23.47,19.97,32.39,55.36,62.44
Seq_2424,14.26,124.26,30.12,24.60,64.67,23.16,49.89,39.23,57.49,13.30,82.87,49.14,37.56,45.47,34.50,21.32,58.81,23.92,196.78,107.65
Seq_2425,17.28,36.11,33.14,24.65,54.55,16.85,36.36,21.85,26.50,30.03,49.83,35.93,39.97,65.19,39.88,41.90,47.15,18.78,74.47,65.50
Seq_2426,20.28,46.47,20.24,18.38,23.79,22.01,47.92,38.78,32.02,27.87,63.08,46.75,22.24,42.12,18.22,43.13,64.10,18.62,66.72,33.30
Seq_2427,19.09,144.34,24.96,26.35,40.32,19.40,352.68,25.89,31.48,24.64,128.17,46.69,46.26,66.77,46.98,40.21,31.39,23.62,99.42,38.33
Seq_2428,29.52,30.27,19.64,28.84,30.93,17.97,74.11,33.46,28.06,27.03,34.35,26.39,33.19,69.49,54.64,45.28,32.57,38.49,0.00,33.25
Seq_2429,51.78,154.52,26.08,29.16,47.02,25.54,90.89,26.59,22.72,22.36,88.59,36.82,56.41,32.79,36.60,27.49,36.26,29.21,176.17,106.02
Seq_2430,10.49,131.65,50.09,27.97,65.30,12.72,83.85,31.27,39.30,25.14,49.18,45.36,41.34,56.30,37.24,32.86,37.46,22.47,78.90,146.73
Seq_2431,16.91,129.28,16.73,22.36,35.98,21.25,72.51,27.94,33.04,22.11,38.59,65.95,30.84,62.83,40.19,39.88,29.77,23.74,216.24,58.03
Seq_2432,17.97,95.17,27.49,34.38,42.13,18.24,49.48,34.28,48.01,33.22,62.67,17.50,84.01,47.64,69.13,22.60,29.38,27.48,89.88,44.74
Seq_2433,16.89,66.97,30.11,36.87,39.02,20.77,63.79,53.97,34.82,17.27,61.68,93.49,25.49,62.96,23.75,33.68,113.28,23.29,221.39,36.58
Seq_2434,23.58,11.84,19.39,49.02,30.05,21.18,63.44,34.57,26.55,27.31,99.34,25.29,26.26,29.99,23.36,21.71,28.94,29.41,85.53,20.91
Seq_2435,18.70,133.43,30.15,23.83,47.41,33.79,82.42,29.25,51.12,43.66,102.15,71.34,30.07,40.33,43.15,37.67,20.95,25.11,67.86,69.86
Seq_2436,17.56,63.56,37.29,28.62,30.94,49.83,0.00,25.14,38.50,12.01,20.99,38.44,20.92,37.08,58.91,26.13,22.34,35.03,36.48,47.17
Seq_2437,50.34,188.31,17.53,19.14,36.98,37.19,71.04,26.67,12.30,21.71,112.12,25.56,94.54,95.24,46.38,30.64,56.50,31.91,143.55,36.88
Seq_2438,27.94,78.21,30.96,27.05,35.57,31.21,72.91,42.48,28.20,18.52,175.92,31.03,38.13,26.73,23.96,31.29,30.76,39.95,49.10,45.61
Seq_2439,12.44,13.39,12.91,7.54,30.17,22.71,48.03,13.91,27.19,33.39,22.43,0.00,15.12,36.14,0.00,18.21,25.72,11.89,0.00,0.00
Seq_2440,43.72,36.17,30.49,28.23,28.16,19.35,35.73,23.62,10.03,47.66,90.31,29.15,46.05,87.94,27.38,14.63,45.59,42.04,66.76,43.19
Seq_2441,25.83,218.89,23.69,32.11,54.92,35.93,67.80,40.95,23.48,18.55,154.37,32.28,26.40,44.10,49.59,37.75,22.76,28.66,72.99,50.08
Seq_2442,22.76,193.93,39.80,30.89,33.00,18.50,194.80,15.39,19.38,26.31,55.22,33.28,42.13,25.90,48.55,17.20,23.38,49.49,161.35,31.84
Seq_2443,30.40,141.10,25.68,28.10,24.55,37.90,73.03,27.27,29.45,19.28,113.43,30.48,71.42,26.75,27.94,33.21,23.41,28.13,194.26,46.64
Seq_2444,26.32,158.54,44.96,31.49,40.36,13.44,215.91,27.49,65.86,30.59,74.21,24.30,49.47,29.05,62.37,22.43,35.95,25.86,55.08,38.08
Seq_2445,19.12,32.48,28.34,23.05,20.73,39.28,74.09,86.97,23.02,23.87,27.69,48.37,27.70,23.76,32.90,20.84,23.76,18.20,142.23,61.81
Seq_2446,20.07,160.40,25.67,37.48,43.67,17.08,149.06,32.56,46.05,18.69,102.59,24.48,43.30,66.62,50.72,29.23,24.96,21.98,102.91,37.73
Seq_2447,24.03,63.20,42.78,28.22,55.29,23.43,132.57,25.69,48.02,22.46,60.95,43.42,41.83,56.60,39.94,29.86,34.44,23.30,281.78,85.98
Seq_2448,18.35,96.63,30.83,33.08,34.92,18.12,30.92,22.62,28.60,11.69,64.98,27.10,26.50,40.89,36.81,25.37,59.48,16.12,110.53,93.28
Seq_2449,19.45,179.33,56.52,16.30,25.20,27.39,92.79,30.54,17.84,22.07,84.19,27.77,49.17,59.09,53.88,21.10,40.80,24.02,51.62,45.73
Seq_2450,43.77,104.26,25.92,29.28,25.92,65.68,59.19,25.61,13.89,13.17,161.01,35.27,37.40,24.57,49.82,21.29,30.90,19.62,58.06,57.40
Seq_2451,20.43,90.79,33.26,24.15,45.97,28.32,65.11,23.15,26.15,19.92,72.30,78.75,23.79,59.77,52.14,28.36,54.42,26.09,343.84,47.62
Seq_2452,18.59,708.59,24.64,25.43,81.84,44.78,89.93,46.56,19.00,26.40,141.66,29.41,46.20,49.95,78.40,31.42,25.39,31.68,283.49,66.35
Seq_2453,13.31,60.39,44.64,52.57,28.29,13.19,55.23,32.55,48.84,38.56,110.81,42.46,20.71,26.16,51.72,19.09,29.05,13.75,59.04,22.69
Seq_2454,23.15,80.32,23.92,38.97,60.29,25.55,90.72,43.62,44.15,12.59,94.28,46.63,24.07,51.39,28.59,20.24,39.98,37.21,81.25,55.06
Seq_2455,21.68,0.00,23.52,41.85,28.28,22.98,50.27,25.57,49.03,24.51,240.00,21.10,21.89,34.67,51.34,19.91,18.47,21.45,70.44,47.84
Seq_2456,15.48,119.69,58.60,43.04,35.13,31.68,74.34,62.86,51.31,37.70,80.02,66.12,40.05,37.41,46.58,19.95,24.85,32.97,164.21,251.98
Seq_2457,19.18,88.83,26.80,26.79,38.02,35.31,62.86,48.83,29.02,18.37,52.67,63.09,61.79,45.01,59.85,50.42,24.59,15.55,67.62,34.34
Seq_2458,32.94,77.55,25.52,18.01,47.03,32.25,52.45,21.23,14.05,19.48,80.27,38.06,42.09,28.82,98.88,26.75,55.17,34.07,32.33,51.00
Seq_2459,31.66,55.34,31.55,27.17,47.31,11.16,59.07,15.10,19.56,12.36,43.25,37.23,24.52,26.68,23.55,98.05,22.89,17.91,44.66,52.85
Seq_2460,14.61,19.88,8.18,15.46,23.02,9.60,0.00,23.29,12.23,26.63,50.02,0.00,9.48,50.02,0.00,19.10,19.84,23.30,29.25,31.34
Seq_2461,12.35,0.00,22.14,27.82,85.58,15.05,37.49,69.31,59.68,13.13,87.75,36.10,20.26,29.60,33.62,28.42,24.61,34.72,63.11,43.60
Seq_2462,32.93,0.00,25.95,22.49,35.33,24.52,49.61,35.69,49.18,22.40,65.53,23.15,52.43,31.72,33.57,36.65,27.18,23.64,51.79,41.71
Seq_2463,35.53,30.60,41.02,66.08,72.11,21.38,46.83,46.42,57.02,23.12,60.38,33.24,20.17,33.44,33.18,24.71,34.92,24.86,63.71,59.90
Seq_2464,28.87,133.07,26.45,32.30,40.03,28.48,64.41,29.39,41.48,25.27,41.07,42.10,26.84,50.81,27.07,26.27,36.57,23.21,60.43,78.85
Seq_2465,14.57,526.87,22.70,32.36,65.52,17.15,90.20,46.37,78.16,19.26,80.02,56.94,58.43,60.17,26.83,36.81,27.26,17.64,110.09,87.62
Seq_2466,28.83,137.81,34.80,22.52,40.56,29.71,78.20,32.24,30.51,15.48,105.31,50.25,45.92,70.06,47.38,37.12,33.63,36.07,104.29,43.75
Seq_2467,36.36,85.42,42.91,40.03,39.82,20.46,74.74,25.95,29.65,17.51,92.75,38.10,48.22,46.70,60.79,31.40,28.57,24.58,98.28,87.93
